lemma_id	form	resolved_pos	confidence	note
lemma_4377	*	NEG	high	niht: negation particle throughout; ADJ/NOM readings not attested in sampling
lemma_5693	*	VRB	high	sprechen: verbal use throughout; NOM (das Sprechen) not attested
lemma_5608	*	VEM	high	soln: modal verb (shall/should) throughout
lemma_7505	*	VRB	high	wesen: was/waren (was/were) throughout; NOM (das Wesen) not attested
lemma_7385	*	CNJ	high	wan/wenne: conjunction (when/since/because) throughout
lemma_1545	*	NOM	high	erde: noun (earth/land) throughout; ADJ/ADV readings not attested
lemma_1961	*	VRB	high	geben: verbal use throughout; NOM (das Geben) not attested
lemma_35	*	CNJ	high	aber: adversative conjunction (but) throughout
lemma_5994	*	NOM	high	tac: noun (day) throughout; ADV reading not attested
lemma_7861	*	VRB	high	ziehen: verbal use (march/go/pull) throughout; NOM not attested
