lemma_id	form	resolved_pos	confidence	note
lemma_4240	*	VEM	high	mugen: modal (can/may) throughout
lemma_4830	*	VRB	high	reden: verbal (speak/said) throughout; NOM not attested
lemma_2933	*	NOM	high	hus: noun (house) throughout; ADV not attested
lemma_5867	*	NOM	high	sunde: noun (sin) throughout; VRB not attested
lemma_3674	*	VRB	high	legen: verbal (lay/place) throughout; NOM not attested
lemma_1964	*	VRB	high	gebern: verbal (bear/beget) throughout; NOM not attested
lemma_5525	*	VRB	high	slahen: verbal (strike/kill) throughout; NOM not attested
lemma_260	*	VRB	high	antwerten: verbal (answer) throughout; NOM not attested
lemma_5752	*	VRB	high	sterben: verbal (die) throughout; NOM not attested
lemma_6171	*	VRB	high	tragen: verbal (carry/bear) throughout; NOM not attested
lemma_504	*	VRB	high	beliben: verbal (remain/stay) throughout; NOM not attested
lemma_6471	*	PRP	high	under: preposition (under/among) throughout
lemma_2708	*	ADJ	high	heilec: adjective (holy) throughout; note: heiligte form may be VRB misassignment
lemma_3022	*	NOM	high	iht: indefinite pronoun/noun (anything/something) throughout
lemma_4176	*	NOM	high	mitte: noun (midst/middle) throughout
lemma_1913	*	ADV	high	gar: intensifying adverb (very/quite) throughout
lemma_8715	*	VEM	high	soltu: contraction of solt+du (you shall); verbal modal component
lemma_5884	*	CNJ	high	sunder: conjunction (but/except/rather) throughout
lemma_5454	si	PRO	high	sie: short form 'si' = personal pronoun (she/they)
lemma_5454	irn	POS	high	sie: possessive form 'irn' (their/her, dat pl or acc sg m)
