lemma_id	form	resolved_pos	confidence	note
lemma_106	*	ADJ	high	al: attributive adjective (all/alle/alles) throughout
lemma_1844	*	VRB	high	gan: verbal use (gehen/go) throughout; NOM not attested
lemma_6301	*	VRB	high	tuon: verbal use (do/does/did) throughout; NOM not attested
lemma_7473	*	VEM	high	wellen: modal use (want/will) throughout
lemma_2640	*	NOM	high	hant: noun (hand) throughout; ADJ not attested
lemma_5366	*	VRB	high	sehen: verbal use (see/seen) throughout; INJ/NOM not attested
lemma_2007	*	PRP	high	gegen: preposition (toward/against) throughout
lemma_1762	*	PRO	high	ez: neuter personal pronoun (it) throughout; POS tag in lexicon appears erroneous
lemma_204	*	ADJ	high	ander: attributive adjective (other/another) throughout
lemma_3400	*	VRB	high	komen: verbal use (come/came) throughout; NOM not attested
lemma_3917	*	VRB	high	machen: verbal use (make/made) throughout; NOM not attested
lemma_4432	*	ADV	high	nu: temporal adverb (now) throughout
lemma_6422	*	PRP	high	umbe: preposition (around/for) throughout
lemma_1764	*	VRB	high	ezzen: verbal use (eat/eaten) throughout; NOM not attested
lemma_4330	*	VRB	high	nemen: verbal use (take/taken) throughout; NOM not attested
lemma_7283	*	VRB	high	fueren: verbal use (lead/led) throughout; NOM not attested
lemma_1971	*	VRB	high	gebieten: verbal use (command/commanded) throughout; NOM not attested
lemma_7929	*	NUM	high	zwei: numeral (two) throughout
lemma_2885	*	VRB	high	horen: verbal use (hear/heard) throughout; INJ/NOM not attested
lemma_5377	*	ADJ	high	seine: attributive possessive adjective (distinct lemma from POS seine under lemma_1517)
