lemma_id	form	resolved_pos	confidence	note
lemma_2534	*	ADJ	high	grôz: adjective (great/large) throughout
lemma_2573	*	ADJ	high	guot: adjective (good) throughout
lemma_3818	*	NOM	high	lôs: noun (lot/draw) throughout; casting-lots context in Numbers/Leviticus
lemma_7277	*	ADV	high	vruo: adverb (early) throughout; directional temporal
lemma_4034	*	ADV	high	mêr: adverb (more/no more) throughout; comparative
lemma_4134	*	ADV	high	minner: adverb (less/fewer) throughout; comparative -lich forms
lemma_7428	*	ADJ	high	wenec: adjective (few/little) throughout
lemma_5864	*	ADJ	high	süeʒe: adjective (sweet) throughout
lemma_846	*	ADJ	high	breit: adjective (broad/wide) throughout
lemma_5280	*	ADJ	high	schœne: adjective (beautiful) throughout
lemma_2866	*	ADJ	high	hôch: adjective (high/lofty) throughout
lemma_5333	*	ADJ	high	schuldec: adjective (guilty) throughout
lemma_7615	*	ADJ	high	wilde: adjective (wild) throughout
lemma_2031	*	ADJ	high	gehôrsam: adjective (obedient) throughout
lemma_3759	*	ADJ	high	lieht: adjective (light/bright) throughout
lemma_5924	*	ADJ	high	swær: adjective (heavy/difficult) throughout
lemma_3643	*	ADJ	high	letztest: adjective (last/final) throughout; superlative
lemma_285	*	ADJ	high	arm: adjective (poor/wretched) throughout
lemma_3349	*	ADJ	high	kleine: adjective (small/little) throughout
lemma_2787	*	ADJ	high	herte: adjective (hard/harsh) throughout; herd-NOM split to lemma_78648
lemma_7500	*	ADJ	high	wert: adjective (worthy/dear) throughout; werden-VEX resolved separately
lemma_526	*	ADJ	high	bereit: adjective (ready/prepared) throughout
lemma_7537	*	ADJ	high	wîse: adjective (wise) throughout; Waise-NOM split to lemma_78688
lemma_2264	*	ADJ	high	gesunt: adjective (healthy) throughout
lemma_7226	*	ADJ	high	vrei: adjective (free) throughout
lemma_2574	*	ADV	high	güetlîch: adverb (kindly); -lich suffix throughout
lemma_6356	*	ADJ	high	übel: adjective (evil/bad) throughout
lemma_2156	*	ADJ	high	gerecht: adjective (just/righteous) throughout
lemma_2115	*	ADJ	high	genem: adjective (agreeable/pleasant) throughout
lemma_597	*	ADJ	high	best: adjective (best) throughout; superlative
lemma_7549	*	ADJ	high	wîʒ: adjective (white) throughout
