lemma_id	form	resolved_pos	confidence	note
lemma_4763	*	NOM	high	purpura: noun (purple cloth) throughout
lemma_6265	*	NOM	high	tûbe: noun (dove) throughout
lemma_10157	*	NOM	high	leber: noun (liver) throughout
lemma_37346	*	NOM	high	hochvart: noun (pride/arrogance) throughout
lemma_11369	*	NOM	high	siuche: noun (sickness/plague) throughout
lemma_5332	*	NOM	high	schulde: noun (guilt/debt/sin) throughout
lemma_4264	*	NOM	high	muot: noun (spirit/mind/courage) throughout
lemma_7704	*	NOM	high	wüeste: noun (wilderness/desert) throughout
lemma_2352	*	NOM	high	gewizzen: noun (conscience) throughout
lemma_3651	*	NOM	high	lêhen: noun (fief/benefice) throughout
lemma_5236	*	NOM	high	schif: noun (ship) throughout
lemma_5093	*	NOM	high	samît: noun (rich silk fabric) throughout
lemma_3863	*	NOM	high	loup: noun (leaf/foliage) throughout
lemma_2501	*	NOM	high	gras: noun (grass) throughout
lemma_17467	*	NOM	high	kalc: noun (lime/chalk) throughout
lemma_5107	*	NOM	high	sant: noun (sand) throughout
lemma_4937	*	NOM	high	riuwe: noun (remorse/sorrow) throughout
lemma_4772	*	NOM	high	quât: noun (dung/filth) throughout
lemma_4130	*	NOM	high	minne: noun (love) throughout
lemma_2178	*	NOM	high	gerste: noun (barley) throughout
lemma_7771	*	NOM	high	zêder: noun (cedar tree) throughout
lemma_5826	*	NOM	high	strô: noun (straw) throughout
lemma_428	*	NOM	high	bech: noun (pitch/tar) throughout
lemma_4218	*	NOM	high	mûl: noun (mule) throughout
lemma_3919	*	NOM	high	made: noun (maggot/worm) throughout
lemma_2856	*	NOM	high	historia: Latin noun (history/narrative) throughout
lemma_18859	*	NOM	high	rex: Latin noun (king) throughout
lemma_18693	*	NOM	high	phütze: noun (pool/pit) throughout
lemma_18426	*	NOM	high	mandel: noun (almond) throughout
lemma_18416	*	NOM	high	infele: noun (miter/headdress) throughout
lemma_1673	*	NOM	high	ertrîch: noun (earth/soil) throughout
