lemma_id	form	resolved_pos	confidence	note
lemma_5432	*	VEX	high	sîn: copula/auxiliary throughout; no VRB instances found in sampling
lemma_7489	wirt	VEX	high	werden: future/passive auxiliary
lemma_7489	wirts	VEX	high	werden: future/passive auxiliary (variant)
lemma_7489	werden	VEX	high	werden: future/passive auxiliary (infinitive)
lemma_7489	werde	VEX	high	werden: subjunctive future/passive
lemma_7489	werdest	VEX	high	werden: 2sg subjunctive
lemma_7489	werdet	VEX	high	werden: 2pl future/passive
lemma_7489	wirdest	VEX	high	werden: 2sg future
lemma_7489	wird	VEX	high	werden: future/passive
lemma_7489	wirdet	VEX	high	werden: future/passive (variant)
lemma_7489	wiert	VEX	high	werden: future/passive (variant)
lemma_7489	wirst	VEX	high	werden: 2sg future
lemma_7489	wurden	VEX	high	werden: passive preterite plural
lemma_7489	worden	VEX	high	werden: past participle (passive)
lemma_7489	wert	VEX	high	werden: preterite (variant)
lemma_7489	werde	VEX	high	werden: subjunctive
lemma_7770	*	PRP	high	zuo: preposition in all sampled contexts; CNJ (inf. particle) not attested
lemma_1517	er	PRO	high	er: 3sg masc nom personal pronoun
lemma_1517	her	PRO	high	er: Bohemian spelling of 3sg er (nom)
lemma_1517	im	PRO	high	er: 3sg masc dat personal pronoun
lemma_1517	in	PRO	high	er: 3sg masc acc personal pronoun
lemma_1517	sein	POS	high	er: 3sg masc possessive (nom sg)
lemma_1517	seine	POS	high	er: 3sg masc possessive
lemma_1517	seinen	POS	high	er: 3sg masc possessive (acc sg m)
lemma_1517	seinem	POS	high	er: 3sg masc possessive (dat sg m/n)
lemma_1517	seiner	POS	high	er: 3sg masc possessive (gen sg / dat sg f)
lemma_1517	seines	POS	high	er: 3sg masc possessive (gen sg m/n)
lemma_1517	seinn	POS	high	er: 3sg masc possessive (variant)
lemma_1517	seinr	POS	high	er: 3sg masc possessive (variant)
lemma_1242	du	PRO	high	du: 2sg nom personal pronoun
lemma_1242	dich	PRO	high	du: 2sg acc personal pronoun
lemma_1242	dir	PRO	high	du: 2sg dat personal pronoun
lemma_1242	dein	POS	high	du: 2sg possessive (nom/acc sg n)
lemma_1242	deine	POS	high	du: 2sg possessive
lemma_1242	deinen	POS	high	du: 2sg possessive (acc sg m)
lemma_1242	deinem	POS	high	du: 2sg possessive (dat sg m/n)
lemma_1242	deiner	POS	high	du: 2sg possessive (gen sg / dat sg f)
lemma_1242	deines	POS	high	du: 2sg possessive (gen sg m/n)
lemma_1242	deinr	POS	high	du: 2sg possessive (variant)
lemma_5454	sie	PRO	high	sie: 3sg fem / 3pl personal pronoun (nom/acc)
lemma_5454	ir	POS	high	sie: 3sg fem / 3pl possessive (nom/acc sg)
lemma_5454	ire	POS	high	sie: 3sg fem / 3pl possessive
lemma_5454	iren	POS	high	sie: 3sg fem / 3pl possessive (acc sg m / dat pl)
lemma_5454	irem	POS	high	sie: 3sg fem / 3pl possessive (dat sg m/n)
lemma_5454	irer	POS	high	sie: 3sg fem / 3pl possessive (gen sg / dat sg f)
lemma_5454	ires	POS	high	sie: 3sg fem / 3pl possessive (gen sg m/n)
lemma_5454	irr	POS	high	sie: 3sg fem / 3pl possessive (variant)
lemma_3001	ich	PRO	high	ich: 1sg nom personal pronoun
lemma_3001	mich	PRO	high	ich: 1sg acc personal pronoun
lemma_3001	mir	PRO	high	ich: 1sg dat personal pronoun
lemma_3001	mein	POS	high	ich: 1sg possessive (nom/acc sg n)
lemma_3001	meine	POS	high	ich: 1sg possessive
lemma_3001	meinen	POS	high	ich: 1sg possessive (acc sg m)
lemma_3001	meinem	POS	high	ich: 1sg possessive (dat sg m/n)
lemma_3001	meiner	POS	high	ich: 1sg possessive (gen sg / dat sg f)
lemma_3001	meines	POS	high	ich: 1sg possessive (gen sg m/n)
lemma_7643	wir	PRO	high	wir: 1pl nom personal pronoun
lemma_7643	vns	PRO	high	wir: 1pl acc/dat personal pronoun
lemma_7643	uns	PRO	high	wir: 1pl acc/dat personal pronoun (variant)
lemma_7643	vnser	POS	high	wir: 1pl possessive (nom/acc sg m/f)
lemma_7643	vnsere	POS	high	wir: 1pl possessive
lemma_7643	vnsern	POS	high	wir: 1pl possessive (acc sg m / dat pl)
lemma_7643	vnserm	POS	high	wir: 1pl possessive (dat sg m/n)
lemma_7643	vnserr	POS	high	wir: 1pl possessive (variant)
lemma_7643	vnsers	POS	high	wir: 1pl possessive (gen sg m/n)
lemma_7643	vnsernn	POS	high	wir: 1pl possessive (variant)
lemma_7643	vnser	POS	high	wir: 1pl possessive
lemma_56117	euch	PRO	high	ir: 2pl acc/dat personal pronoun
lemma_56117	uch	PRO	high	ir: 2pl acc/dat personal pronoun (variant)
lemma_56117	ewer	POS	high	ir: 2pl possessive
lemma_56117	ewere	POS	high	ir: 2pl possessive (variant)
lemma_56117	ewern	POS	high	ir: 2pl possessive (acc sg m / dat pl)
lemma_56117	ewerm	POS	high	ir: 2pl possessive (dat sg m/n)
lemma_56117	ewerr	POS	high	ir: 2pl possessive (gen sg / dat sg f)
lemma_56117	ewers	POS	high	ir: 2pl possessive (gen sg m/n)
lemma_56117	ew̆er	POS	high	ir: 2pl possessive (variant with breve)
lemma_56117	ewrem	POS	high	ir: 2pl possessive (variant)
lemma_56117	ewren	POS	high	ir: 2pl possessive (variant)
lemma_56117	ewre	POS	high	ir: 2pl possessive (variant)
lemma_56117	ew	POS	high	ir: 2pl possessive (abbreviated)
