lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_31613	lemma_31613_sense_56707	high	all "suzen ruche" = sweet fragrance/odor of incense/offerings; smell sense, not nasal organ
lexicon.xml#lemma_1988	lemma_1988_sense_3057	high	birth/firstborn throughout (erstgebornen svne, erste gepurt des menschen); nobility sense absent
lexicon.xml#lemma_6188	lemma_6188_sense_9763	high	literal stepping/treading (trit ewers fuses, die trite irr fuze); battle/warfare sense absent
lexicon.xml#lemma_2078	lemma_2078_sense_13893	high	money/currency throughout (speise koufen, gelt leihen, enpfangne gelt); legal-penalty sense absent
lexicon.xml#lemma_2246	lemma_2246_sense_3578	high	shape/form/appearance (gestalt der erden, gestalt der eren vnsers herren); reason/cause sense absent
lexicon.xml#lemma_5363	lemma_5363_sense_8377	high	OT Deuteronomy covenant blessing and curse formula; pre-Christian Jewish context = non-Christian mythology
lexicon.xml#lemma_5476	lemma_5476_sense_8537	high	silver as material throughout (silber vnd golt, voller silbers vnd goldes); proper-name sense absent
lexicon.xml#lemma_3705	lemma_3705_sense_5868	high	spatial length/measurement throughout (tabernacle construction dimensions); temporal sense absent
lexicon.xml#lemma_58951	lemma_58951_sense_111124	high	military encampment throughout (legerten sich vor/gegen/bei bestreitende); sleeping sense absent
lexicon.xml#lemma_1411	lemma_1411_sense_2178	high	"der engel vnsers herren" throughout; Latin loanword sense not applicable to MHG forms engel/engil
lexicon.xml#lemma_846	lemma_846_sense_1380	high	spatial width/measurement (breite erden, spannen breit, breite des geczeldis); honor/respect sense absent
lexicon.xml#lemma_3421	lemma_3421_sense_5394	high	buying/trade throughout (koufen speise zu vnserr notdurft, speise koufen); redemption/acquisition sense absent
lexicon.xml#lemma_4123	lemma_4123_sense_6476	high	dairy/food (erde vlissende von milch vnd honigseim, brachte buter vnd milch); breast-milk reproductive sense absent
lexicon.xml#lemma_4648	lemma_4648_sense_7213	high	plague/affliction throughout (alle pflage, tage der pflage, pflage siben veldiclich); OT covenant punishment sense
lexicon.xml#lemma_3034	lemma_3034_sense_4840	high	building entrance throughout (eingang des geczeldis, eingang des grosen geczeldis); temporal sense absent
lexicon.xml#lemma_2031	lemma_2031_sense_3135	high	obedience throughout (gehorsam seyn, wirst gehorsam seinen gepoten, gehorsam sein); enforcement-of-will sense absent
lexicon.xml#lemma_2825	lemma_2825_sense_4541	medium	all 3 samples spatial "here" (worumb steestu hie, ste hie vor, hie zu gegenwortig sint); temporal "now" sense minority
lexicon.xml#lemma_6824	lemma_6824_sense_10880	medium	burning as active event (ku vorbrant, fewer vnsers herren vorbrant); destruction/death sense secondary
lexicon.xml#lemma_5069	lemma_5069_sense_7900	medium	ritual anointing/consecration (salbe den zu einer heiligunge, wurcze zu salben); Exodus/Lev priestly anointing context
