lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_8715	lemma_8715_sense_8771	high	heuristic-bulk: 92.1% corpus majority in 3 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_4524	lemma_4524_sense_7061	high	heuristic-bulk: 100.0% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7081	lemma_7081_sense_11468	medium	heuristic-bulk: 86.9% corpus majority in 6 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_44139	lemma_44139_sense_86820	high	heuristic-bulk: 91.7% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7108	lemma_7108_sense_11507	high	heuristic-bulk: 92.6% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_2830	lemma_2830_sense_90142	high	heuristic-bulk: 100.0% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_2912	lemma_2912_sense_4674	medium	heuristic-bulk: 83.3% corpus majority in 6 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7482	lemma_7482_sense_12189	medium	heuristic-bulk: 85.7% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7672	lemma_7672_sense_12578	medium	heuristic-bulk: 85.5% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7948	lemma_7948_sense_13034	high	heuristic-bulk: 91.2% corpus majority in 3 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_6036	lemma_6036_sense_9551	high	heuristic-bulk: 91.4% corpus majority in 5 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_868	lemma_868_sense_1423	medium	heuristic-bulk: 86.4% corpus majority in 6 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7320	lemma_7320_sense_11866	high	heuristic-bulk: 95.8% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_2212	lemma_2212_sense_3510	medium	heuristic-bulk: 87.5% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_2617	lemma_2617_sense_4204	medium	heuristic-bulk: 89.8% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_116	lemma_116_sense_150	high	heuristic-bulk: 99.9% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_7534	lemma_7534_sense_12299	high	heuristic-bulk: 94.1% corpus majority in 3 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_1243	lemma_1243_sense_1959	high	heuristic-bulk: 100.0% corpus majority in 1 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_3765	lemma_3765_sense_5955	high	heuristic-bulk: 98.8% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_4252	lemma_4252_sense_6652	high	heuristic-bulk: 96.3% corpus majority in 4 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_5815	lemma_5815_sense_9190	high	heuristic-bulk: 92.9% corpus majority in 8 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_4266	lemma_4266_sense_6678	high	heuristic-bulk: 99.2% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_5855	lemma_5855_sense_9270	high	heuristic-bulk: 100.0% corpus majority in 1 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_784	lemma_784_sense_1270	high	heuristic-bulk: 100.0% corpus majority in 1 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_1376	lemma_1376_sense_2120	high	heuristic-bulk: 98.5% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_5818	lemma_5818_sense_9199	medium	heuristic-bulk: 89.7% corpus majority in 3 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_3770	lemma_3770_sense_5960	high	heuristic-bulk: 99.7% corpus majority in 2 senses in corpus; majority sense validated in candidate_senses list
lexicon.xml#lemma_5393	lemma_5393_sense_8414	high	heuristic-bulk: 100.0% corpus majority in 1 senses in corpus; majority sense validated in candidate_senses list
