lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_582	lemma_582_sense_878	medium	heuristic-bulk: 49.3% corpus majority; 7 senses in corpus; small lemma (96 tokens)
lexicon.xml#lemma_7431	lemma_7431_sense_14247	medium	heuristic-bulk: 49.2% corpus majority; 4 senses in corpus; small lemma (76 tokens)
lexicon.xml#lemma_7273	lemma_7273_sense_11785	medium	heuristic-bulk: 48.9% corpus majority; 6 senses in corpus; small lemma (74 tokens)
lexicon.xml#lemma_1396	lemma_1396_sense_2156	medium	heuristic-bulk: 46.8% corpus majority; 4 senses in corpus; small lemma (57 tokens)
lexicon.xml#lemma_2629	lemma_2629_sense_4223	medium	heuristic-bulk: 45.4% corpus majority; 10 senses in corpus; small lemma (52 tokens)
lexicon.xml#lemma_5507	lemma_5507_sense_14934	medium	heuristic-bulk: 49.9% corpus majority; 6 senses in corpus; small lemma (32 tokens)
lexicon.xml#lemma_2942	lemma_2942_sense_4729	medium	heuristic-bulk: 45.3% corpus majority; 3 senses in corpus; small lemma (30 tokens)
lexicon.xml#lemma_448	lemma_448_sense_614	medium	heuristic-bulk: 46.7% corpus majority; 3 senses in corpus; small lemma (29 tokens)
lexicon.xml#lemma_2939	lemma_2939_sense_4715	medium	heuristic-bulk: 49.2% corpus majority; 8 senses in corpus; small lemma (28 tokens)
lexicon.xml#lemma_269	lemma_269_sense_341	medium	heuristic-bulk: 44.0% corpus majority; 7 senses in corpus; small lemma (22 tokens)
lexicon.xml#lemma_2588	lemma_2588_sense_4149	medium	heuristic-bulk: 42.6% corpus majority; 4 senses in corpus; small lemma (22 tokens)
lexicon.xml#lemma_527	lemma_527_sense_21930	medium	heuristic-bulk: 45.6% corpus majority; 5 senses in corpus; small lemma (20 tokens)
lexicon.xml#lemma_5748	lemma_5748_sense_9036	medium	heuristic-bulk: 42.3% corpus majority; 5 senses in corpus; small lemma (20 tokens)
lexicon.xml#lemma_4786	lemma_4786_sense_7393	medium	heuristic-bulk: 42.7% corpus majority; 10 senses in corpus; small lemma (17 tokens)
lexicon.xml#lemma_2787	lemma_2787_sense_4489	medium	heuristic-bulk: 43.2% corpus majority; 10 senses in corpus; small lemma (16 tokens)
lexicon.xml#lemma_3685	lemma_3685_sense_5832	medium	heuristic-bulk: 40.6% corpus majority; 6 senses in corpus; small lemma (16 tokens)
lexicon.xml#lemma_704	lemma_704_sense_1136	medium	heuristic-bulk: 42.1% corpus majority; 7 senses in corpus; small lemma (15 tokens)
lexicon.xml#lemma_2315	lemma_2315_sense_3704	medium	heuristic-bulk: 41.7% corpus majority; 6 senses in corpus; small lemma (15 tokens)
lexicon.xml#lemma_7153	lemma_7153_sense_11603	medium	heuristic-bulk: 47.8% corpus majority; 4 senses in corpus; small lemma (15 tokens)
lexicon.xml#lemma_1060	lemma_1060_sense_1696	medium	heuristic-bulk: 41.1% corpus majority; 6 senses in corpus; small lemma (14 tokens)
lexicon.xml#lemma_7449	lemma_7449_sense_12124	medium	heuristic-bulk: 40.0% corpus majority; 4 senses in corpus; small lemma (13 tokens)
lexicon.xml#lemma_4476	lemma_4476_sense_6989	medium	heuristic-bulk: 45.5% corpus majority; 4 senses in corpus; small lemma (12 tokens)
lexicon.xml#lemma_5315	lemma_5315_sense_8280	medium	heuristic-bulk: 47.7% corpus majority; 3 senses in corpus; small lemma (11 tokens)
lexicon.xml#lemma_709	lemma_709_sense_1157	medium	heuristic-bulk: 44.1% corpus majority; 9 senses in corpus; small lemma (11 tokens)
lexicon.xml#lemma_8550	lemma_8550_sense_20683	medium	heuristic-bulk: 47.1% corpus majority; 4 senses in corpus; small lemma (11 tokens)
lexicon.xml#lemma_5196	lemma_5196_sense_8085	medium	heuristic-bulk: 48.3% corpus majority; 8 senses in corpus; small lemma (10 tokens)
lexicon.xml#lemma_7197	lemma_7197_sense_11660	medium	heuristic-bulk: 46.5% corpus majority; 3 senses in corpus; small lemma (10 tokens)
lexicon.xml#lemma_4059	lemma_4059_sense_6371	medium	heuristic-bulk: 40.2% corpus majority; 6 senses in corpus; small lemma (9 tokens)
lexicon.xml#lemma_5594	lemma_5594_sense_8746	medium	heuristic-bulk: 48.2% corpus majority; 5 senses in corpus; small lemma (9 tokens)
lexicon.xml#lemma_7730	lemma_7730_sense_12667	medium	heuristic-bulk: 45.5% corpus majority; 3 senses in corpus; small lemma (8 tokens)
lexicon.xml#lemma_3465	lemma_3465_sense_5490	medium	heuristic-bulk: 42.9% corpus majority; 4 senses in corpus; small lemma (8 tokens)
lexicon.xml#lemma_6761	lemma_6761_sense_10743	medium	heuristic-bulk: 49.6% corpus majority; 7 senses in corpus; small lemma (7 tokens)
lexicon.xml#lemma_1571	lemma_1571_sense_2438	medium	heuristic-bulk: 40.0% corpus majority; 7 senses in corpus; small lemma (7 tokens)
lexicon.xml#lemma_7282	lemma_7282_sense_11805	medium	heuristic-bulk: 49.0% corpus majority; 3 senses in corpus; small lemma (7 tokens)
lexicon.xml#lemma_4264	lemma_4264_sense_6672	medium	heuristic-bulk: 47.9% corpus majority; 3 senses in corpus; small lemma (6 tokens)
lexicon.xml#lemma_763	lemma_763_sense_1242	medium	heuristic-bulk: 48.0% corpus majority; 4 senses in corpus; small lemma (4 tokens)
lexicon.xml#lemma_5725	lemma_5725_sense_8983	medium	heuristic-bulk: 41.2% corpus majority; 5 senses in corpus; small lemma (4 tokens)
lexicon.xml#lemma_4495	lemma_4495_sense_7012	medium	heuristic-bulk: 41.7% corpus majority; 5 senses in corpus; small lemma (4 tokens)
lexicon.xml#lemma_3296	lemma_3296_sense_14095	medium	heuristic-bulk: 42.9% corpus majority; 3 senses in corpus; small lemma (4 tokens)
lexicon.xml#lemma_9261	lemma_9261_sense_14848	medium	heuristic-bulk: 42.4% corpus majority; 4 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_5532	lemma_5532_sense_8625	medium	heuristic-bulk: 42.6% corpus majority; 3 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_7391	lemma_7391_sense_12014	medium	heuristic-bulk: 42.9% corpus majority; 4 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_8139	lemma_8139_sense_21337	medium	heuristic-bulk: 48.6% corpus majority; 4 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_5328	lemma_5328_sense_8320	medium	heuristic-bulk: 40.0% corpus majority; 4 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_4461	lemma_4461_sense_6962	medium	heuristic-bulk: 43.6% corpus majority; 4 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_1136	lemma_1136_sense_1789	medium	heuristic-bulk: 42.4% corpus majority; 6 senses in corpus; small lemma (3 tokens)
lexicon.xml#lemma_8305	lemma_8305_sense_23219	medium	heuristic-bulk: 41.2% corpus majority; 5 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_4990	lemma_4990_sense_7754	medium	heuristic-bulk: 40.0% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_5774	lemma_5774_sense_9087	medium	heuristic-bulk: 47.1% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_3687	lemma_3687_sense_24191	medium	heuristic-bulk: 41.2% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_8161	lemma_8161_sense_21376	medium	heuristic-bulk: 45.0% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_7613	lemma_7613_sense_12467	medium	heuristic-bulk: 45.8% corpus majority; 4 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_1227	lemma_1227_sense_1930	medium	heuristic-bulk: 43.1% corpus majority; 4 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_6371	lemma_6371_sense_10044	medium	heuristic-bulk: 42.9% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_644	lemma_644_sense_1017	medium	heuristic-bulk: 43.8% corpus majority; 3 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_5542	lemma_5542_sense_8647	medium	heuristic-bulk: 42.9% corpus majority; 5 senses in corpus; small lemma (2 tokens)
lexicon.xml#lemma_6099	lemma_6099_sense_9625	medium	heuristic-bulk: 41.1% corpus majority; 5 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_1953	lemma_1953_sense_2996	medium	heuristic-bulk: 45.6% corpus majority; 3 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_2343	lemma_2343_sense_17380	medium	heuristic-bulk: 49.7% corpus majority; 5 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_7241	lemma_7241_sense_11742	medium	heuristic-bulk: 45.5% corpus majority; 3 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_7631	lemma_7631_sense_12509	medium	heuristic-bulk: 42.4% corpus majority; 4 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_3067	lemma_3067_sense_4888	medium	heuristic-bulk: 42.9% corpus majority; 5 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_6763	lemma_6763_sense_10752	medium	heuristic-bulk: 47.8% corpus majority; 8 senses in corpus; small lemma (1 tokens)
lexicon.xml#lemma_6762	lemma_6762_sense_10749	medium	heuristic-bulk: 46.2% corpus majority; 3 senses in corpus; small lemma (1 tokens)
