xml_id	resolved_sense	confidence	note
WZB_1ra_24_7	lemma_3028_sense_63605	high	in trewen = relational: in faithfulness (abstract state/sphere)
WZB_1rb_17_7	lemma_3028_sense_63605	high	in rechter tugende kern = relational: in the core of virtue (abstract manner/quality)
WZB_1rb_26_4	lemma_3028_sense_4833	high	in seinen tagen = temporal: in his days
WZB_1va_6_3	lemma_3028_sense_4834	high	in ires kindes reich = spatial: into/in her child's realm
WZB_1va_13_3	lemma_3028_sense_63605	high	in aller vnser arbeit = relational: in all our work (sphere of activity)
WZB_1va_28_5	lemma_3028_sense_4834	high	in keinen Buchen = spatial: in no books (locative)
WZB_1va_30_4	lemma_3028_sense_63605	high	in liebe truncken = relational: drunk in/with love (abstract state)
WZB_1va_31_6	lemma_3028_sense_4834	high	in der liebe buch = spatial: in the book of love (locative container)
WZB_1va_36_4	lemma_3028_sense_63605	high	in deinem namen = relational: in your name (formulaic invocation)
WZB_1vb_3_5	lemma_3028_sense_4833	high	in vnsern tagen = temporal: in our days
WZB_1vb_5_4	lemma_3028_sense_4834	high	in deines vaters lant = spatial: into/in your father's land
WZB_1vb_9_0	ABSTAIN	low	PROBABLE LEMMA MISMATCH: czu in = zu ihnen (dative pronoun ihnen), not preposition; preposition here is czu
WZB_1vb_10_2	lemma_3028_sense_4834	high	in das reich des vaters = spatial: into the Father's realm
WZB_1vb_15_0	lemma_3028_sense_4833	high	in iren iungen tagen = temporal: in her young days
WZB_1vb_16_5	lemma_3028_sense_63605	high	in des heiligen namens volleist = relational: in the fullness of the holy name (formulaic)
WZB_1vb_20_3	lemma_3028_sense_63605	high	in gleicher sase = relational/manner: in equal/fair manner
WZB_1vb_32_2	lemma_3028_sense_4834	medium	in deutsche czunge = spatial/directional: into German tongue (translation target language)
WZB_1vb_34_7	lemma_3028_sense_4834	high	in disen prologo = spatial: in/into this prologue
WZB_2ra_11_2	lemma_3028_sense_4833	high	in allen cziten = temporal: in all times
WZB_2ra_11_6	lemma_3028_sense_4834	high	in diser werlde weiten = spatial: in this wide world
WZB_2ra_16_2	lemma_3028_sense_63605	high	in vreude tewer = relational: precious in/through joy (abstract state)
WZB_2ra_21_3	lemma_3028_sense_63605	high	in irem vbirmut vnd hon = relational: in their arrogance and mockery (abstract state)
WZB_2ra_23_2	lemma_3028_sense_63605	high	in aller diser not = relational: in all this distress (abstract state/condition)
WZB_2rb_4_3	lemma_3028_sense_63605	high	in vreude gewendet = relational: turned in/into joy (abstract transformation into a state)
WZB_2rb_7_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: mit in = mit ihnen (dative pronoun ihnen), not preposition; preposition here is mit
WZB_2rb_10_5	lemma_3028_sense_4834	high	in disem buche = spatial: in this book (locative)
WZB_2rb_23_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: gebe in = gebe ihnen (dative pronoun ihnen), not preposition
WZB_2rb_30_0	lemma_3028_sense_4833	medium	IN principio = temporal: Latin phrase "in the beginning"; beginning = temporal reference point; Latin usage embedded in German text
WZB_2vb_16_2	lemma_3028_sense_4834	high	in der mitte der wasser = spatial: in the middle of the waters (Gen 1:6)
WZB_3ra_3_3	lemma_3028_sense_4834	high	in im selbir = spatial: within itself (self-contained, reflexive locative)
WZB_3ra_17_0	lemma_3028_sense_4833	high	in czeit = temporal: in time (Gen 1:14 sequence: signs/times/days/years)
WZB_3ra_17_5	lemma_3028_sense_4833	high	in iare = temporal: in years (Gen 1:14 sequence)
WZB_3rb_4_2	lemma_3028_sense_63605	high	in irr gestalt = relational/manner: in their form/kind (= nach ihrer Art, after their kind)
WZB_3rb_7_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: gesegent in = segnete sie (accusative pronoun sie/ihn), not preposition
WZB_3rb_21_4	lemma_3028_sense_63605	high	in seinem geslechte = relational: according to its kind (Gen 1:25 nach ihrer Art pattern)
WZB_3rb_31_1	lemma_3028_sense_4834	high	in der erden = spatial: in the earth (Gen 1:28)
WZB_3rb_34_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: schepfte er in = schuf er sie (accusative pronoun sie), not preposition
WZB_3rb_35_6	ABSTAIN	low	PROBABLE LEMMA MISMATCH: gesegent in = segnete sie (accusative pronoun), not preposition
WZB_3va_10_1	lemma_3028_sense_4834	high	frucht in in selber = spatial: first in = fruit within itself (reflexive container)
WZB_3va_10_2	lemma_3028_sense_4834	high	in selber ires geslechtes = spatial: second in from in-in-selber = within itself of its kind
WZB_3va_15_0	lemma_3028_sense_4834	high	in der erden = spatial: in the earth (locative)
WZB_3va_15_5	lemma_3028_sense_4834	high	in den ein lebendige sele ist = spatial: within which a living soul exists
WZB_3vb_5_5	lemma_3028_sense_4834	high	in der erden entsprengte = spatial: sprouted from/in the earth
WZB_3vb_15_2	lemma_3028_sense_4834	high	in sein antlicze = spatial: into his nostrils/face (Gen 2:7 breath of life)
WZB_3vb_17_3	lemma_3028_sense_4834	high	in ein lebendige sele = spatial/directional: into a living soul (Gen 2:7 transformation)
WZB_3vb_25_1	lemma_3028_sense_4834	high	in der mitte des = spatial: in the middle of the garden (Gen 2:9)
WZB_3vb_28_5	lemma_3028_sense_4834	high	in vier houbt = spatial/directional: into four heads (Gen 2:10, river divides)
WZB_3vb_31_3	lemma_3028_sense_4834	high	in dem lande = spatial: in the land (Gen 2:11)
WZB_4ra_11_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: satste in = setzte ihn (accusative pronoun ihn), not preposition
WZB_4ra_11_3	lemma_3028_sense_4834	high	in das = spatial/directional: into the garden (Gen 2:15, placed into)
