lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_4826	lemma_4826_sense_7470	medium	heuristic-bulk: 72.6% corpus majority; 5 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5396	lemma_5396_sense_8417	medium	heuristic-bulk: 72.7% corpus majority; 4 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_2895	lemma_2895_sense_4650	medium	heuristic-bulk: 77.3% corpus majority; 2 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_7755	lemma_7755_sense_12712	medium	heuristic-bulk: 72.0% corpus majority; 3 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5378	lemma_5378_sense_8397	medium	heuristic-bulk: 74.1% corpus majority; 3 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_2164	lemma_2164_sense_3386	medium	heuristic-bulk: 79.2% corpus majority; 4 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_3720	lemma_3720_sense_5885	medium	heuristic-bulk: 70.9% corpus majority; 6 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5180	lemma_5180_sense_8055	medium	heuristic-bulk: 79.6% corpus majority; 4 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5771	lemma_5771_sense_9078	medium	heuristic-bulk: 70.0% corpus majority; 4 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5435	lemma_5435_sense_8482	medium	heuristic-bulk: 78.5% corpus majority; 3 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5903	lemma_5903_sense_9348	medium	heuristic-bulk: 72.0% corpus majority; 5 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5864	lemma_5864_sense_9283	medium	heuristic-bulk: 73.2% corpus majority; 5 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_2875	lemma_2875_sense_4609	medium	heuristic-bulk: 76.8% corpus majority; 3 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_7338	lemma_7338_sense_11895	medium	heuristic-bulk: 78.8% corpus majority; 3 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_909	lemma_909_sense_1496	medium	heuristic-bulk: 72.4% corpus majority; 6 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_1641	lemma_1641_sense_2560	medium	heuristic-bulk: 74.0% corpus majority; 2 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_5682	lemma_5682_sense_14993	medium	heuristic-bulk: 78.6% corpus majority; 2 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_7057	lemma_7057_sense_11438	medium	heuristic-bulk: 75.0% corpus majority; 2 senses in corpus; sense validated in candidate list
lexicon.xml#lemma_3349	lemma_3349_sense_5259	medium	heuristic-bulk: 72.0% corpus majority; 5 senses in corpus; sense validated in candidate list
