lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_7487	lemma_7487_sense_12200	medium	heuristic-bulk: 52.2% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_5039	lemma_5039_sense_7836	medium	heuristic-bulk: 54.5% corpus majority; 6 senses in corpus; validated
lexicon.xml#lemma_5743	lemma_5743_sense_9025	medium	heuristic-bulk: 51.6% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_7121	lemma_7121_sense_11541	medium	heuristic-bulk: 54.8% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_1164	lemma_1164_sense_1836	medium	heuristic-bulk: 51.9% corpus majority; 9 senses in corpus; validated
lexicon.xml#lemma_6042	lemma_6042_sense_9559	medium	heuristic-bulk: 56.1% corpus majority; 7 senses in corpus; validated
lexicon.xml#lemma_5005	lemma_5005_sense_7781	medium	heuristic-bulk: 52.5% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_4848	lemma_4848_sense_7509	medium	heuristic-bulk: 55.1% corpus majority; 6 senses in corpus; validated
lexicon.xml#lemma_5963	lemma_5963_sense_9450	medium	heuristic-bulk: 50.6% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_2731	lemma_2731_sense_4403	medium	heuristic-bulk: 56.1% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_4913	lemma_4913_sense_7635	medium	heuristic-bulk: 57.1% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_5729	lemma_5729_sense_8991	medium	heuristic-bulk: 56.9% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_3815	lemma_3815_sense_6024	medium	heuristic-bulk: 50.9% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_6741	lemma_6741_sense_10713	medium	heuristic-bulk: 53.7% corpus majority; 8 senses in corpus; validated
lexicon.xml#lemma_1436	lemma_1436_sense_2211	medium	heuristic-bulk: 56.5% corpus majority; 8 senses in corpus; validated
lexicon.xml#lemma_2392	lemma_2392_sense_3860	medium	heuristic-bulk: 53.1% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_3806	lemma_3806_sense_6008	medium	heuristic-bulk: 50.6% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_5033	lemma_5033_sense_7822	medium	heuristic-bulk: 50.0% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_2044	lemma_2044_sense_3160	medium	heuristic-bulk: 52.3% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_4954	lemma_4954_sense_7708	medium	heuristic-bulk: 57.1% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_1585	lemma_1585_sense_2468	medium	heuristic-bulk: 58.9% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_13697	lemma_13697_sense_22568	medium	heuristic-bulk: 55.6% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_6913	lemma_6913_sense_11079	medium	heuristic-bulk: 53.0% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_4909	lemma_4909_sense_7627	medium	heuristic-bulk: 50.0% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_7428	lemma_7428_sense_12080	medium	heuristic-bulk: 54.5% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_1636	lemma_1636_sense_2549	medium	heuristic-bulk: 53.6% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_2075	lemma_2075_sense_3212	medium	heuristic-bulk: 55.8% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_3066	lemma_3066_sense_4882	medium	heuristic-bulk: 55.8% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_6851	lemma_6851_sense_10935	medium	heuristic-bulk: 51.0% corpus majority; 6 senses in corpus; validated
lexicon.xml#lemma_621	lemma_621_sense_14000	medium	heuristic-bulk: 51.2% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_2113	lemma_2113_sense_3281	medium	heuristic-bulk: 54.2% corpus majority; 4 senses in corpus; validated
lexicon.xml#lemma_179	lemma_179_sense_220	medium	heuristic-bulk: 50.7% corpus majority; 6 senses in corpus; validated
lexicon.xml#lemma_4956	lemma_4956_sense_14160	medium	heuristic-bulk: 57.9% corpus majority; 3 senses in corpus; validated
lexicon.xml#lemma_740	lemma_740_sense_14028	medium	heuristic-bulk: 50.0% corpus majority; 2 senses in corpus; validated
lexicon.xml#lemma_5521	lemma_5521_sense_8598	medium	heuristic-bulk: 53.5% corpus majority; 7 senses in corpus; validated
lexicon.xml#lemma_6888	lemma_6888_sense_11018	medium	heuristic-bulk: 58.8% corpus majority; 5 senses in corpus; validated
lexicon.xml#lemma_3102	lemma_3102_sense_4928	medium	heuristic-bulk: 56.5% corpus majority; 2 senses in corpus; validated
