lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_4415	lemma_4415_sense_6892	medium	heuristic-bulk: 68.8% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2367	lemma_2367_sense_3822	medium	heuristic-bulk: 66.7% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_722	lemma_722_sense_1176	medium	heuristic-bulk: 68.6% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6835	lemma_6835_sense_10895	medium	heuristic-bulk: 66.6% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7221	lemma_7221_sense_11695	medium	heuristic-bulk: 65.1% corpus majority; 6 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2065	lemma_2065_sense_3197	medium	heuristic-bulk: 65.1% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1146	lemma_1146_sense_1807	medium	heuristic-bulk: 69.3% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_3957	lemma_3957_sense_6236	medium	heuristic-bulk: 68.8% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_433	lemma_433_sense_31246	medium	heuristic-bulk: 68.9% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7163	lemma_7163_sense_11613	medium	heuristic-bulk: 67.7% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_8385	lemma_8385_sense_22492	medium	heuristic-bulk: 65.6% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4326	lemma_4326_sense_6761	medium	heuristic-bulk: 67.5% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2866	lemma_2866_sense_4596	medium	heuristic-bulk: 67.8% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_28890	lemma_28890_sense_45487	medium	heuristic-bulk: 66.7% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7635	lemma_7635_sense_12518	medium	heuristic-bulk: 66.7% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_3837	lemma_3837_sense_6063	medium	heuristic-bulk: 68.4% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2932	lemma_2932_sense_4708	medium	heuristic-bulk: 66.7% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2923	lemma_2923_sense_4694	medium	heuristic-bulk: 68.0% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7342	lemma_7342_sense_11901	medium	heuristic-bulk: 66.1% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2363	lemma_2363_sense_3810	medium	heuristic-bulk: 66.7% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2224	lemma_2224_sense_3539	medium	heuristic-bulk: 65.4% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5888	lemma_5888_sense_9328	medium	heuristic-bulk: 68.8% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7866	lemma_7866_sense_12901	medium	heuristic-bulk: 65.7% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1611	lemma_1611_sense_2513	medium	heuristic-bulk: 67.5% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_757	lemma_757_sense_1234	medium	heuristic-bulk: 66.2% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_20574	lemma_20574_sense_34081	medium	heuristic-bulk: 66.7% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7750	lemma_7750_sense_14381	medium	heuristic-bulk: 66.7% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_723	lemma_723_sense_1180	medium	heuristic-bulk: 67.6% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2889	lemma_2889_sense_4636	medium	heuristic-bulk: 66.7% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4238	lemma_4238_sense_6631	medium	heuristic-bulk: 66.7% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7276	lemma_7276_sense_11795	medium	heuristic-bulk: 67.0% corpus majority; 2 senses in corpus; validated in candidate_senses
