lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_9084	lemma_9084_sense_12208	medium	heuristic-bulk: 61.5% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_282	lemma_282_sense_365	medium	heuristic-bulk: 63.2% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4872	lemma_4872_sense_7549	medium	heuristic-bulk: 60.1% corpus majority; 6 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1689	lemma_1689_sense_2651	medium	heuristic-bulk: 60.6% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_3453	lemma_3453_sense_5456	medium	heuristic-bulk: 64.7% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7780	lemma_7780_sense_12749	medium	heuristic-bulk: 61.2% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6722	lemma_6722_sense_10665	medium	heuristic-bulk: 63.8% corpus majority; 7 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_3732	lemma_3732_sense_5912	medium	heuristic-bulk: 63.3% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4290	lemma_4290_sense_6707	medium	heuristic-bulk: 60.6% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5046	lemma_5046_sense_7853	medium	heuristic-bulk: 62.6% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5089	lemma_5089_sense_14229	medium	heuristic-bulk: 61.8% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_658	lemma_658_sense_1055	medium	heuristic-bulk: 63.6% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7648	lemma_7648_sense_12535	medium	heuristic-bulk: 60.8% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2904	lemma_2904_sense_37995	medium	heuristic-bulk: 62.6% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7722	lemma_7722_sense_12651	medium	heuristic-bulk: 62.2% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7924	lemma_7924_sense_12998	medium	heuristic-bulk: 60.8% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4842	lemma_4842_sense_7500	medium	heuristic-bulk: 60.6% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4349	lemma_4349_sense_6799	medium	heuristic-bulk: 60.2% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2543	lemma_2543_sense_4074	medium	heuristic-bulk: 60.0% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6194	lemma_6194_sense_9769	medium	heuristic-bulk: 64.4% corpus majority; 6 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2706	lemma_2706_sense_4361	medium	heuristic-bulk: 64.5% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5783	lemma_5783_sense_9109	medium	heuristic-bulk: 60.8% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5148	lemma_5148_sense_7997	medium	heuristic-bulk: 64.2% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2080	lemma_2080_sense_3221	medium	heuristic-bulk: 63.0% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1151	lemma_1151_sense_1816	medium	heuristic-bulk: 64.0% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_609	lemma_609_sense_963	medium	heuristic-bulk: 62.5% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2213	lemma_2213_sense_3512	medium	heuristic-bulk: 64.6% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6487	lemma_6487_sense_10284	medium	heuristic-bulk: 62.0% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_15281	lemma_15281_sense_25269	medium	heuristic-bulk: 60.0% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_870	lemma_870_sense_1431	medium	heuristic-bulk: 63.3% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_3330	lemma_3330_sense_5216	medium	heuristic-bulk: 60.4% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6211	lemma_6211_sense_9792	medium	heuristic-bulk: 61.1% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_14422	lemma_14422_sense_23906	medium	heuristic-bulk: 60.0% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1100	lemma_1100_sense_1746	medium	heuristic-bulk: 60.7% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1979	lemma_1979_sense_3041	medium	heuristic-bulk: 60.6% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_6905	lemma_6905_sense_11060	medium	heuristic-bulk: 62.7% corpus majority; 4 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5158	lemma_5158_sense_8014	medium	heuristic-bulk: 63.2% corpus majority; 8 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4810	lemma_4810_sense_7438	medium	heuristic-bulk: 61.9% corpus majority; 5 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_2714	lemma_2714_sense_4375	medium	heuristic-bulk: 62.9% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5505	lemma_5505_sense_8575	medium	heuristic-bulk: 63.5% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_840	lemma_840_sense_1360	medium	heuristic-bulk: 62.5% corpus majority; 2 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_4400	lemma_4400_sense_6861	medium	heuristic-bulk: 63.9% corpus majority; 7 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_7479	lemma_7479_sense_12173	medium	heuristic-bulk: 61.9% corpus majority; 9 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_5795	lemma_5795_sense_9145	medium	heuristic-bulk: 60.5% corpus majority; 3 senses in corpus; validated in candidate_senses
lexicon.xml#lemma_1451	lemma_1451_sense_2236	medium	heuristic-bulk: 61.1% corpus majority; 3 senses in corpus; validated in candidate_senses
