xml_id	resolved_lemma	confidence	note
WZB_5va_20_3	lemma_6761	high	fur VRB = varn (to go/travel): "wir hingingen" past tense
WZB_6rb_7_0	lemma_7292	high	fur PRP = vür (for/für): "anderen Samen für den"
WZB_7va_12_2	lemma_7292	high	fur PRP = vür (for/für): "Fleisches zwei für eins"
WZB_8va_5_1	lemma_7194	high	fur ADV = vor (before): "da vorkamen vierzig [Jahre]"
WZB_8va_7_7	lemma_6761	high	fur VRB = varn (to go/fly out): "der [Rabe] flog aus"
WZB_8vb_29_7	lemma_6761	high	fur VRB = varn (to go out): "fuhr aus der Erde" (Gen 8:7)
WZB_10va_11_3	lemma_7292	high	fur PRP = vür (for/für): "Ziegel für Steine" (Ex 1:14)
WZB_10va_12_1	lemma_7292	high	fur PRP = vür (for/für): "Lehm für Kalk"
WZB_11va_19_2	lemma_7194	high	fur ADV = vor (forward): "und vorwärtsgehend" (fürbas)
WZB_11va_19_5	lemma_7194	high	fur ADV = vor (forward): "und fürbas weiterziehend"
WZB_15ra_25_6	lemma_7194	high	fur ADV = vor (before): "davor auf Gott" (er wandte sich zu Gott)
WZB_15rb_26_0	lemma_7292	high	fur PRP = vür (for/für): "will legen für euch"
WZB_15va_7_3	lemma_7292	high	fur PRP = vür (for/für): "setzte das für sie"
WZB_16rb_18_10	lemma_7194	high	fur ADV = vor (there before): "erblickte er da"
WZB_16va_5_0	lemma_7292	high	fur PRP = vür (for/für): "zu dir für sie"
WZB_16va_12_3	lemma_7292	high	fur PRP = vür (for/für): "erkannten die für mich heraus"
WZB_21va_7_1	lemma_7292	high	fur PRP = vür (for/für): "man er für zwei Gulden"
WZB_21vb_17_4	lemma_7194	high	fur PRP = vor (before): "und vor sein Angesicht"
WZB_25va_34_2	lemma_7292	high	fur PRP = vür (for/für): "den Fluch für den Segen" (Deut)
WZB_31va_9_6	lemma_7292	high	fur PRP = vür (for/für): "er für deine Brüder"
WZB_35vb_25_7	lemma_7194	high	fur ADV = vor (forward/away): "zog er fort"
WZB_37ra_11_4	lemma_6761	high	fur VRB = varn (to travel): "starb und fuhr [in die andere Welt]"
WZB_39va_29_5	lemma_7194	high	fur ADV/PRP = vor (before): "Führet sie vor das"
WZB_40va_3_7	lemma_7194	high	fur ADV = vor (away): "floh hinfort zu einer"
WZB_40va_14_3	lemma_7194	high	fur ADV = vor (away): "floh hinfort"
WZB_42ra_2_2	lemma_7194	high	fur PRP = vor (before): "und trat vor seinen Herrn"
WZB_45vb_9_1	lemma_7194	high	fur ADV = vor (forward): "ging er vor und enthielt sich"
WZB_47ra_28_2	lemma_7292	high	fur PRP = vür (for/für): "dein Knecht für das Kind" (Gen 44:33)
WZB_49vb_5_1	lemma_7194	high	fur PRP = vor (before): "stellte ihn vor ihn"
WZB_49vb_15_5	lemma_7194	high	fur ADV = vor (forward): "ging er vor, fürwahr"
WZB_55vb_17_2	lemma_6761	high	fur VRB = varn (to go): "fuhr aus" (Ex 19:17 style)
WZB_59va_9_1	lemma_7194	high	fur ADV = vor (down/ahead): "wirf sie hin vor"
WZB_60va_6_1	lemma_6761	high	fur VRB = varn (to come out): "strömten aus [Frösche]" (Ex 8)
WZB_65ra_8_0	lemma_7292	high	fur PRP = vür (for/für): "werde ziehen für euch"
WZB_68ra_20_0	lemma_7292	high	fur PRP = vür (for/für): "Herr wird für euch streiten" (Ex 14:14)
WZB_69rb_20_3	lemma_7194	high	fur ADV = vor (before): "bis vor ziehe dein [Engel]"
WZB_69vb_21_2	lemma_7292	high	fur PRP = vür (for/für): "gesetzt vor/für mich"
WZB_75rb_14_4	lemma_7194	high	fur ADV = vor (before): "lege ihn vor"
WZB_75vb_10_3	lemma_7194	high	fur ADV = vor (ahead): "wanderte er voran"
WZB_76ra_28_5	lemma_7292	high	fur PRP = vür (for/für): "gebe er für seine Seele" (Ex 30:12)
WZB_77va_13_5	lemma_7292	high	fur PRP = vür (for/für): "deines Feindes für ihn"
WZB_108ra_10_1	lemma_7194	high	fur ADV = vor (forward): "hin fort als in"
WZB_112va_8_0	lemma_7292	high	fur PRP = vür (for/für): "opfere für sich zwei" (Lev)
WZB_140vb_29_3	lemma_7292	high	fur PRP = vür (for/für): "mir dienen für ihn"
WZB_159vb_10_7	lemma_7292	high	fur PRP = vür (for/für): "in ihn für Gottes Geist"
WZB_193vb_36_4	lemma_7194	high	fur ADV = vor (out before): "ist heraus vor den"
WZB_234vb_19_4	lemma_7194	high	fur PRP = vor (before): "gingen die vor Josua stehen"
