xml_id	resolved_lemma	confidence	note
WZB_10ra_5_15	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_14vb_11_1	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_19rb_25_2	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_30va_7_0	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_33vb_19_6	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_42vb_15_3	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_51rb_33_0	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_55vb_18_8	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_56vb_22_6	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_56vb_34_5	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_64vb_2_2	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_70ra_18_0	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_71ra_13_1	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_79vb_12_3	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_79vb_32_7	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_81ra_19_2	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_81va_22_4	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82ra_35_0	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82rb_8_1	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82rb_10_6	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82rb_16_4	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82va_3_4	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82va_6_1	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82va_12_4	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_82va_20_3	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_83va_26_7	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
WZB_84rb_4_1	lemma_5432	high	sein VRB = infinitive of sin (to be): preceded by modal/zu confirms verbal reading, not possessive
