xml_id	resolved_lemma	confidence	note
WZB_51vb_14_2	lemma_4445	high	o INJ = ô! interjection: "O mein Sohn" (Gen 49)
WZB_212va_12_3	lemma_4445	high	o INJ = ô! interjection: "Dein Gericht o und dein"
WZB_13rb_35_1	lemma_19575	high	leite NOM = leite (harm/sorrow): "und zu Leite aber mir"
WZB_59va_17_3	lemma_7540	high	weisen NOM = wîsen (wise men): "rief die Weisen und die" (Ex 7:11)
WZB_77ra_18_1	lemma_78688	high	weisen NOM = weise/waize (orphans): "Witwen und Waisen sollt ihr" (Ex 22:22)
WZB_77ra_26_0	lemma_78688	high	weisen NOM = weise/waize (orphans): "eure Kinder zu Waisen" (Ex 22:24)
WZB_77ra_27_1	lemma_78688	high	weisen NOM = weise/waize (orphans): "leihst dem Waisen meinem Armen"
WZB_83ra_12_1	lemma_7540	high	weisen NOM = wîsen (wise of heart): "allen Weisen des Herzens" (Ex 28:3)
WZB_93vb_6_5	lemma_7540	high	weisen NOM = wîsen (wise of heart): "alle die Weisen des Herzens" (Ex 35:10)
WZB_112ra_10_4	lemma_7537	high	weisen ADJ = wîs (wise): "geachtet und weise soll man"
WZB_187va_7_4	lemma_78688	high	weisen NOM = weise/waize (orphans): "Witwen und Waisen liebt er" (Deut 10:18)
WZB_193vb_4_3	lemma_7537	high	weisen NOM = wîs (wise): "Augen der Weisen" (Deut 16:19)
WZB_20rb_2_3	lemma_2500	high	grabe NOM = grap (grave/tomb): "in seinem Grabe begräbst du"
WZB_50va_8_3	lemma_2500	high	grabe NOM = grap (grave/tomb): "in dem Grabe meiner Vorfahren"
WZB_52va_25_2	lemma_2500	high	grabe NOM = grap (grave/tomb): "in meinem Grabe das ich" (Gen 50:5)
WZB_83rb_28_0	lemma_2486	high	grabe VRB = graben (to dig): "Steine und grabe dort ein"
WZB_84rb_28_5	lemma_2486	high	grabe VRB = graben (to dig): "grabe mit Gegrabenem" (Ex 28:11)
WZB_200rb_5_4	lemma_2486	high	grabe VRB = graben (to dig): "so grabe um und"
WZB_4ra_11_9	lemma_270	high	arbeite VRB = arbeiten: "er das arbeite" (subj.)
WZB_5ra_36_9	lemma_270	high	arbeite VRB = arbeiten: "das er arbeite" (subj.)
WZB_43rb_7_1	lemma_269	high	arbeite NOM = arbeit (labour/toil): "meiner Arbeite und des"
WZB_53vb_24_3	lemma_269	high	arbeite NOM = arbeit (labour): "Dienste in Arbeite wurden sie"
WZB_72va_18_0	lemma_269	high	arbeite NOM = arbeit (labour): "alle die Arbeite die in"
WZB_155vb_3_4	lemma_269	high	arbeite NOM = arbeit (labour): "und der Arbeite und ward"
