xml_id	resolved_lemma	confidence	note
WZB_27vb_33_6	lemma_7439	high	wegen VRB = to move/roll: Jacob rolls stone from well (Gen 29:3)
WZB_43ra_11_2	lemma_7439	high	wegen VRB = to move: Pharaoh to Joseph "niemand soll ohne mich seine Hand rühren" (Gen 41:44)
WZB_48va_25_1	lemma_7431	high	wegen NOM = paths/ways: "auf den Wegen die da"
WZB_52vb_7_5	lemma_9621	high	wegen NOM = wagons: "seinem Gespann Wagen und Ross"
WZB_48ra_13_1	lemma_9621	high	wegen NOM = wagons: "sie nehmen Wagen von dem" (Numbers)
WZB_48ra_24_5	lemma_9621	high	wegen NOM = wagons: "den gab Wagen nach dem"
WZB_48rb_15_5	lemma_9621	high	wegen NOM = wagons: "sah die Wagen und alles"
WZB_67va_33_1	lemma_9621	high	wegen NOM = chariots: "sechshundert auserwählten Wagen" (Ex 14)
WZB_67va_34_1	lemma_9621	high	wegen NOM = chariots: "was in Wagen waren" (Ex 14)
WZB_67vb_10_1	lemma_9621	high	wegen NOM = chariots: "Reitende und Wagen und alles" (Ex 14)
WZB_68ra_31_6	lemma_9621	high	wegen NOM = chariots: "in seinen Wagen" (Ex 14 chariot context)
WZB_68rb_4_4	lemma_9621	high	wegen NOM = chariots: "in seinen Wagen" (Ex 14 chariot context)
WZB_68va_14_0	lemma_9621	high	wegen NOM = chariots: "alle Ritterschaft Wagen und Reitende"
WZB_68va_22_5	lemma_9621	high	wegen NOM = chariots: "Räder ihrer Wagen"
WZB_68va_32_0	lemma_9621	high	wegen NOM = chariots: "über ihre Wagen"
WZB_68vb_6_2	lemma_9621	high	wegen NOM = chariots: "bedeckten die Wagen"
WZB_69ra_5_3	lemma_9621	high	wegen NOM = chariots: "nahm die Wagen"
WZB_69rb_32_0	lemma_9621	high	wegen NOM = chariots: "mit seinen Wagen"
WZB_129va_34_4	lemma_7439	high	wegen VRB = to weigh: split token "ge|wegen" = gewogen (past participle of wägen), "wird gewogen ein Schekel"
WZB_137rb_20_4	lemma_9621	high	wegen NOM = wagons: "Sechs bedeckte Wagen" (Num 7)
WZB_137va_13_1	lemma_9621	high	wegen NOM = wagons: "empfing die Wagen" (Num 7)
WZB_137va_14_10	lemma_9621	high	wegen NOM = wagons: "den zwei Wagen und vier" (Num 7)
WZB_137va_16_6	lemma_9621	high	wegen NOM = wagons: "anderen vier Wagen und acht" (Num 7)
WZB_137va_22_3	lemma_9621	high	wegen NOM = wagons: "er nicht Wagen und Ochsen" (Num 7)
WZB_184vb_3_2	lemma_7431	high	wegen NOM = ways: "in seinen Wegen" (Deut, God's ways)
WZB_187ra_34_2	lemma_7431	high	wegen NOM = ways: "in seinen Wegen" (Deut, God's ways)
WZB_187vb_6_10	lemma_7431	high	wegen NOM = ways: "und den Wegen wie sie"
WZB_188va_3_3	lemma_7431	high	wegen NOM = ways: "allen seinen Wegen" (Deut)
WZB_196ra_22_1	lemma_7431	high	wegen NOM = ways: "in seinen Wegen alle Zeit" (Deut)
WZB_196va_11_3	lemma_9621	high	wegen NOM = wagons: "Reitende und Wagen der Menge"
WZB_203rb_12_0	lemma_7431	high	wegen NOM = ways: "in seinen Wegen und behüten" (Deut)
WZB_204va_11_1	lemma_7431	high	wegen NOM = ways: "in seinen Wegen" (Deut)
WZB_208vb_6_3	lemma_7431	high	wegen NOM = ways: "in seinen Wegen und behütest" (Deut)
WZB_225vb_29_4	lemma_9621	high	wegen NOM = wagons: "Ross und Wagen unermesslicher Menge"
WZB_226ra_4_3	lemma_9621	high	wegen NOM = wagons: "ihre Wagen mit Feuer"
WZB_226rb_2_4	lemma_9621	high	wegen NOM = wagons: "ihre Wagen verbrannte er"
WZB_231vb_28_2	lemma_9621	high	wegen NOM = iron chariots: "eiserne Wagen gebrauchen"
WZB_232ra_12_2	lemma_9621	high	wegen NOM = iron chariots: "eiserne Wagen haben"
WZB_236rb_15_4	lemma_7431	high	wegen NOM = ways: "allen seinen Wegen und behütet" (Deut)
WZB_238va_36_3	lemma_9621	high	wegen NOM = wagons: "Vätern mit Wagen und mit"
