xml_id	resolved_lemma	confidence	note
WZB_19ra_16_3	lemma_78648	high	herte NOM = herd/flock: "aus der Herde hintersich"
WZB_28ra_9_1	lemma_78648	high	herte NOM = herd/flock: "tränkte die Herde und küsste" (Gen 29:10, Rachel's flock)
WZB_18va_17_2	lemma_2787	high	herte ADJ = hard: "das Harte um das"
WZB_47va_4_0	lemma_2787	high	herte ADJ = hard: "das nicht hart dünken"
WZB_51va_30_0	lemma_2787	high	herte ADJ = hard: "sie ist hart"
WZB_62vb_15_8	lemma_2787	high	herte ADJ/ADV = hard: "allzu hart ward sein"
WZB_210rb_13_2	lemma_2787	high	herte ADJ/ADV = hard: "gar zu hart"
WZB_216va_25_2	lemma_2787	high	herte ADJ = hard: "gar harte Steine"
WZB_222vb_16_5	lemma_2787	high	herte ADJ/ADV = hard: "Steuern waren hart"
WZB_62ra_3_4	lemma_2789	high	herte VRB = to harden: "er härtete das Herz" (Ex 7:13)
WZB_63vb_7_0	lemma_2789	high	herte VRB = to harden: "unser Herr härtete das Herz"
WZB_64rb_32_3	lemma_2789	high	herte VRB = to harden: "unser Herr härtete das Herz" (repeated)
WZB_67vb_2_0	lemma_2789	high	herte VRB = to harden: "härtete das Herz" (Ex, hardening of Pharaoh's heart)
