xml_id	resolved_lemma	confidence	note
WZB_35vb_10_4	lemma_5924	high	swere NOM = heaviness: "von swere der geburt" (weight of childbirth)
WZB_49va_25_3	lemma_5924	high	swere NOM = heaviness: "vor swere des hungers" (weight of famine)
WZB_111ra_27_6	lemma_5924	high	swere NOM = heaviness: "ein swere ist gewachsen" (a burden has grown)
WZB_202va_35_3	lemma_5924	high	swere ADJ = heavy: "gar swere purden" (very heavy burdens)
WZB_2rb_2_5	lemma_3691	high	leit NOM = sorrow: "kein Leid" (no sorrow)
WZB_13ra_20_1	lemma_3770	high	leit VRB = ligen (to lie): "das da liegt zu der"
WZB_44va_18_9	lemma_3692	high	leit VRB = leiten (to lead): "nicht der leit gevangen wolt" = not he who wanted to lead captive
WZB_52rb_20_4	lemma_3674	high	leit VRB = legen (to lay): "leit do gewurczet" = laid there spiced
WZB_67va_6_1	lemma_3770	high	leit VRB = ligen (to lie): "das da liegt zwischen"
WZB_75vb_8_5	lemma_3770	high	leit VRB = ligen (to lie): "er liegt in dem"
WZB_143rb_29_3	lemma_3770	high	leit VRB = ligen (to lie): "des Volkes sam liegend in"
WZB_178ra_14_2	lemma_3770	high	leit VRB = ligen (to lie): "das da liegt um die"
WZB_206rb_6_2	lemma_3770	high	leit VRB = ligen (to lie): "die da liegt in seiner"
WZB_206rb_20_5	lemma_3770	high	leit VRB = ligen (to lie): "der da liegt in ihrer"
WZB_230va_10_0	lemma_3770	high	leit VRB = ligen (to lie): "das da liegt gegen"
WZB_6rb_15_2	lemma_3917	high	macht VRB = machen: "Gleichnis Gottes macht er"
WZB_13va_10_7	lemma_3917	high	macht VRB = machen: "ob du machst"
WZB_43ra_24_2	lemma_3917	high	macht VRB = machen: "Garben wurden gemacht"
WZB_44va_17_5	lemma_3917	high	macht VRB = machen: "Ohne Kinder macht ihr mich"
WZB_73ra_8_2	lemma_3937	high	macht NOM = maht (power): "über deine Macht ist das"
WZB_76ra_4_4	lemma_3917	high	macht VRB = machen: "macht sie eine"
WZB_90vb_31_3	lemma_4240	high	macht VEM = mügen (can): "mein Antlitz kannst du nicht [sehen]"
WZB_127ra_25_7	lemma_4240	high	macht VEM = mügen (can): "Gott kann euch nicht"
WZB_142ra_28_6	lemma_3917	high	macht VRB = machen: "den du zusammenmachst"
WZB_191vb_3_5	lemma_3917	high	macht VRB = machen: "das alles macht nicht zu ihm" (avails nothing)
WZB_205vb_33_0	lemma_3917	high	macht VRB = machen: "macht ein hartnäckiges Volk/Geschlecht"
WZB_20ra_12_1	lemma_95	high	achte NUM = aht (eight): "diese acht geborenen Brüder"
WZB_76va_13_0	lemma_98	high	achte NOM = ahte (valuation/assessment): Lev 27 context; "gemäß der Schätzung des Schadens"; supported by achtunge/achtet in surrounding tokens
WZB_102vb_35_5	lemma_96	high	achte NUM = ahtode (eighth ordinal): "der achte [Abschnitt von] Leviticus"
WZB_103ra_30_5	lemma_96	high	achte NUM = ahtode (eighth ordinal): "nach dem achten und nach"
WZB_106vb_19_3	lemma_96	high	achte NUM = ahtode (eighth ordinal): "da der achte Tag ward"
WZB_124ra_11_6	lemma_96	high	achte NUM = ahtode (eighth ordinal): "der achte Tag" (Lev)
WZB_125vb_9_0	lemma_96	high	achte NUM = ahtode (eighth ordinal): "nach dem achten des Getreides"
WZB_129ra_2_7	lemma_98	high	achte NOM = ahte (valuation/assessment): Lev 27 valuation passage; "unter der Schätzung gebe er"; achtunge appears at WZB_129ra_21_7
WZB_129rb_34_4	lemma_99	high	achte VRB = ahten (to assess/value): "als vil achte her in" = "so viel wertet er ihn" (Lev 27:8)
