xml_id	resolved_lemma	confidence	note
WZB_8vb_9_2	lemma_4034	high	mer ADV = mêr (more): "nicht wieder mehr zu ihm"
WZB_14va_9_1	lemma_4034	high	mer ADV = mêr (more): "nicht mehr geheißen"
WZB_19ra_12_2	lemma_4034	high	mer ADV = mêr (more): "sein nicht mehr gehört"
WZB_20rb_23_5	lemma_4034	high	mer ADV = mêr (more): "sondern mehr horche"
WZB_21va_18_1	lemma_4034	high	mer ADV = mêr (more): "sie sprach mehr"
WZB_33vb_4_2	lemma_4034	high	mer ADV = mêr (more): "habe ich mehr als du"
WZB_33vb_24_4	lemma_4034	high	mer ADV = mêr (more): "zu gehen mehr als sie"
WZB_35va_25_5	lemma_4035	high	mer VRB = mêren (to increase): "Wachse und mehre dich" (Gen 35:11)
WZB_39vb_6_5	lemma_4034	high	mer ADV = mêr (more): "fürbas nicht mehr"
WZB_40va_31_0	lemma_4034	high	mer ADV = mêr (more): "wollte nicht mehr"
WZB_53vb_17_6	lemma_4034	high	mer ADV = mêr (more): "desto mehr sie sich"
WZB_57vb_6_0	lemma_4034	high	mer ADV = mêr (more): "gemehrt viel mehr ist"
WZB_62vb_9_2	lemma_4034	high	mer ADV = mêr (more): "traf nicht mehr auf die"
WZB_64ra_12_3	lemma_4034	high	mer ADV = mêr (more): "du mir mehr erscheinst"
WZB_70vb_5_6	lemma_4034	high	mer ADV = mêr (more): "der da mehr geglaubt hatte"
WZB_70vb_6_4	lemma_4034	high	mer ADV = mêr (more): "hatte hätte mehr noch"
WZB_76vb_32_4	lemma_4034	high	mer ADV = mêr (more): "nicht viel mehr ist"
WZB_81rb_5_6	lemma_4034	high	mer ADV = mêr (more): "der da mehr ist Von"
WZB_81rb_11_5	lemma_4034	high	mer ADV = mêr (more): "der da mehr ist in"
WZB_93va_30_5	lemma_4034	high	mer ADV = mêr (more): "opfert mehr als man"
WZB_93va_34_3	lemma_4034	high	mer ADV = mêr (more): "nichts mehr opfert"
WZB_104vb_14_5	lemma_4034	high	mer ADV = mêr (more): "denn viel mehr welche"
WZB_125vb_10_6	lemma_4034	high	mer ADV = mêr (more): "direr y mehr Jahre"
WZB_126va_15_5	lemma_4034	high	mer ADV = mêr (more): "von ihm mehr als du"
WZB_146ra_5_4	lemma_4034	high	mer ADV = mêr (more): "Zahl oder mehr ist"
WZB_149rb_7_3	lemma_4034	high	mer ADV = mêr (more): "sondern mehr gedenkend"
WZB_156rb_20_2	lemma_4034	high	mer ADV = mêr (more): "sondern viel mehr sammelte"
WZB_157va_10_3	lemma_4034	high	mer ADV = mêr (more): "aber viel mehr und edler"
WZB_157va_23_4	lemma_4034	high	mer ADV = mêr (more): "ich mehr oder minder"
WZB_173ra_15_2	lemma_4034	high	mer ADV = mêr (more): "die da mehr haben soll"
WZB_173ra_16_0	lemma_4034	high	mer ADV = mêr (more): "soll man mehr nehmen"
WZB_182ra_4_0	lemma_4034	high	mer ADV = mêr (more): "gar nichts mehr zu legen"
WZB_182rb_10_5	lemma_4034	high	mer ADV = mêr (more): "Du mehr gehe hin"
WZB_184ra_23_4	lemma_4034	high	mer ADV = mêr (more): "deinem Herzen mehr sind"
WZB_210rb_18_1	lemma_4034	high	mer ADV = mêr (more): "viel mehr werdet ihr"
WZB_216ra_7_1	lemma_4034	high	mer ADV = mêr (more): "desto mehr von weitem"
WZB_224rb_9_9	lemma_4034	high	mer ADV = mêr (more): "und viel mehr starben ihr"
WZB_237ra_30_6	lemma_4034	high	mer ADV = mêr (more): "nicht viel mehr in diesen"
