xml_id	resolved_lemma	confidence	note
WZB_1rb_9_0	lemma_5842	high	stunde NOM = time/hour, "czu disen stunden" = at these times (NOM pl)
WZB_2rb_8_2	lemma_5842	high	stunde NOM = time/hour, "czu manchen stunden" = at many times (NOM pl)
WZB_114rb_13_3	lemma_5842	high	stunde NOM = time/hour, "zu allen stunden" = at all times (NOM pl)
WZB_21va_22_1	lemma_621	high	beten VRB = to worship, "an bette vnsern herren" = anbeten (to adore/worship) our Lord
WZB_22rb_19_4	lemma_621	high	beten VRB = to worship, "an bette vnsern herren" = anbeten (to adore/worship) our Lord
WZB_33va_13_6	lemma_621	high	beten VRB = to worship, "an bette kniende" = anbeten kneeling
WZB_57rb_11_0	lemma_2789	high	herten VRB = to harden, "sein hercze herten" = harden his heart (verbal infinitive)
WZB_59rb_18_6	lemma_2789	high	herten VRB = to harden, "ich wil herten ł das" = I will harden... (verbal)
WZB_68ra_28_5	lemma_2789	high	herten VRB = to harden, "ich wil herten der hercze" = I will harden the heart (verbal)
WZB_39rb_22_4	lemma_3684	high	leiden VRB = to suffer, "Ich leide was du" = I suffer what you... (1sg present)
WZB_44ra_18_3	lemma_3684	high	leiden VRB = to suffer, "rechten schulden leide wir das" = with rightful cause we suffer this
WZB_63rb_4_4	lemma_3684	high	leiden VRB = to suffer, "Worumbe leide wir dise" = Why do we suffer this
WZB_79vb_32_0	lemma_615	high	bët NOM = prayer/Gebet, "seiten der bete tafel" = sides of the prayer-table (Tabernacle furnishing)
WZB_94vb_17_7	lemma_615	high	bët NOM = prayer/Gebet, "ist ein bete tafel" = is a prayer-table (Tabernacle furnishing)
