xml_id	resolved_lemma	confidence	note
WZB_38ra_11_5	lemma_6133	high	tote VRB = tœten (to kill): "nicht töten wir seinen [Bruder]" (Gen 37:21)
WZB_112va_12_2	lemma_6133	high	tote VRB = tœten (to kill): "einen Sperling tötete er" (Lev 14)
WZB_114ra_12_0	lemma_6133	high	tote VRB = tœten (to kill): "und tötete einen Sperling" (Lev 14:5)
WZB_145va_6_5	lemma_16978	high	tote NOM = tote (dead person): "als ein Toter und als"
WZB_211va_31_0	lemma_6133	high	tote VRB = tœten (to kill): "Ich töte und mache lebendig" (Deut 32:39)
WZB_222ra_31_4	lemma_16978	high	tote NOM = tote (dead): "das Tote [und seine] Namen"
WZB_24va_36_4	lemma_7385	high	wen ADV = wan (denn/als comparative): "mächtiger geworden als [GENESIS]"
WZB_70rb_19_0	lemma_5933	high	wen CNJ = swanne (als/wenn temporal): "wieder als wir waren"
WZB_86va_35_4	lemma_5933	high	wen CNJ = swanne (als temporal): "des Morgens als [EXODUS]"
WZB_90va_15_4	lemma_7385	high	wen ADV = wan (außer/wenn conditional): "mir nicht außer wenn du sendest"
WZB_90vb_16_1	lemma_5933	high	wen CNJ = swanne (wenn conditional): "werden in wenn mir behaglich"
WZB_9va_35_6	lemma_7338	high	ware ADJ/ADV = wâr (truly): "vor wâre" = fürwahr (Gen 28:16)
WZB_11vb_11_3	lemma_7338	high	ware ADJ/ADV = wâr (truly): "vor wâre" = fürwahr
WZB_51ra_5_3	lemma_7338	high	ware ADJ/ADV = wâr (truly): "vor wâre" = fürwahr
WZB_183ra_32_1	lemma_7505	high	ware VRB = wesen (to be): "Knechte waren wir" (Deut 6:21)
WZB_229ra_8_5	lemma_7338	high	ware ADJ = wâr (true): "das mir wahr dünkte" (wahr erschien)
WZB_1vb_13_4	lemma_6761	high	var VRB = varn (to happen/befall): "allen widerfahre" (Prologus)
WZB_79rb_34_0	lemma_6764	high	var ADJ = varwe (colored): "violettfarben seidenes" (Ex 28)
WZB_79rb_35_2	lemma_6764	high	var ADJ = varwe (colored): "purpurfarben und" (Ex 28)
WZB_79va_2_1	lemma_6764	high	var ADJ = varwe (colored): "rotfarben zweifach gefärbt" (Ex 28)
WZB_79va_6_0	lemma_6764	high	var ADJ = varwe (colored): "violettfarbe gefärbte" (Ex 28)
WZB_14rb_16_2	lemma_5738	high	stecken VRB = stecken (to pitch/erect): "wird er aufstellen sein Zelt"
WZB_64vb_31_0	lemma_5737	high	stecken NOM = stecke (staff/stick): "Stäbe haltend in" (Ex 21:19)
WZB_75vb_11_2	lemma_5737	high	stecken NOM = stecke (staff/stick): "an seinem Stab unschuldig"
WZB_131vb_6_3	lemma_5738	high	stecken VRB = stecken (to pitch): "sollen aufstellen ihr Zelt" (Num 1)
WZB_131vb_21_3	lemma_5738	high	stecken VRB = stecken (to pitch): "soll aufstellen sein Zelt" (Num 2)
WZB_21rb_12_6	lemma_286	high	arm NOM = arm (body part/arm): "auf den Arm und gab" (Gen 24:47)
WZB_93ra_7_1	lemma_286	high	arm NOM = arm (body part): "Ohrringe und Arm-Geschmeide" (Ex 35)
WZB_129ra_21_4	lemma_285	high	arm ADJ = arm (poor): "dass er arm ist" (Lev 27:8)
WZB_201ra_27_0	lemma_285	high	arm ADJ = arm (poor): "dass er arm ist" (Deut 15:11)
WZB_201rb_7_3	lemma_285	high	arm ADJ = arm (poor): "er ist arm" (Deut 15:11)
WZB_4vb_34_1	lemma_15339	high	lagen VRB = lâgen (to lie in wait): "lauern ihrer Ferse" (Gen 3:15)
WZB_27rb_4_7	lemma_3770	high	lagen VRB = ligen (to lie): "die da lagen und"
WZB_108ra_8_1	lemma_3770	high	lagen VRB = ligen (to lie): "als sie lagen gekleidet"
WZB_151ra_17_4	lemma_3770	high	lagen VRB = ligen (to lie): "Und sie lagen auf der"
WZB_161rb_16_4	lemma_15339	high	lagen NOM = lâgen (ambush/snare): "betrogen in Lagen des Abgotts"
