form	resolved_lemma	confidence	note
yn	lemma_1517	high	accusative pronoun ihn (him); all contexts are transitive verb objects (heiligte/kuste/kennen yn); lemma_3028=in (PRP) and lemma_2975=ân are false positives
ob	lemma_9329	high	CNJ ob (if/whether); all 5 samples are conditional clauses; lemma_4457=obe and lemma_67820=ob (PRP over/above) are different words
Ob	lemma_9329	high	capitalized ob at sentence start
wege	lemma_7431	high	NOM/dative wëc (way/path); all contexts are in/an/auf dem wege or plural wege; lemma_7436=wege is non-canonical; lemma_7439=wegen (VRB/PRP) is different
aldo	lemma_116	high	ADV aldâr (there/at that place); all contexts show locative adverb; lemma_1180=dâ is the short form; aldo is the intensified compound form
Aldo	lemma_116	high	capitalized aldo at sentence start
irem	lemma_5454	high	dative/possessive irem (her/their dative); all contexts show possessive; lemma_56116 is non-canonical duplicate
meinen	lemma_3001	high	accusative of possessive mein (my); all contexts are meinen mvnt/svn/frid (my mouth/son/peace); lemma_4051=meinen (VRB to mean) not attested in samples
Meinen	lemma_3001	high	capitalized meinen at sentence start
gebe	lemma_1961	high	1/3sg subjunctive of geben (give); all contexts are optative gebe ir/in (give her/him); lemma_13306=gebe (NOM) is different
Gebe	lemma_1961	high	capitalized gebe at sentence start
machen	lemma_3917	high	infinitive of machen (to make); all contexts are czu machen (to make); lemma_3962=manec (ADJ many) is completely different
ersten	lemma_1288	high	dative/accusative of êrste (first ADJ); all contexts are dem/seinen ersten tage/svn; lemma_1655=erstân (VRB to arise) is different
nam	lemma_4330	high	past 3sg of nemen (took); all contexts are nam eine/von/czwei/svn; lemma_4306=name (NOM) is a different word
meine	lemma_3001	high	possessive meine (my, nom/acc fem or pl); all contexts are meine stimme/wege (my voice/ways); lemma_4048=mein (ADJ treacherous) is different
Meine	lemma_3001	high	capitalized meine at sentence start
machte	lemma_3917	high	past 3sg of machen (made); all contexts are machte in/das (made him/it); lemma_3937=maht (NOM power), lemma_4240=mügen are different words
nante	lemma_4331	high	past 3sg of nennen (named/called); all contexts are got/er nante das/die; lemma_4309=Nantes (NAM) is a place name and clearly wrong
kein	lemma_3273	high	NEG/ADJ kein (none/no); all contexts are kein/ny kein (none/never any); lemma_2007=gegen (PRP) and lemma_3271=Keie (NAM) are false positives
Kein	lemma_3273	high	capitalized kein at sentence start
nemen	lemma_4330	high	infinitive of nemen (to take); all contexts are die sullen nemen (they shall take); lemma_4331=nennen (VRB to name) is different
wie	lemma_7608	high	ADV wie (how/as/just as); all contexts are wie got/geschehen sol wie; lemma_11087=wîe (NOM) is different
Wie	lemma_7608	high	capitalized wie at sentence start
meines	lemma_3001	high	genitive of possessive mein (my); all contexts are meines bruders/namens (my brother's/name's); lemma_4048=mein (ADJ) is different
Meines	lemma_3001	high	capitalized meines at sentence start
seiten	lemma_5378	high	NOM seite (side, plural or dative); all contexts are zu der/beiden seiten (to the/both sides); lemma_5061=sagen (VRB) and lemma_5435=sîte (NOM custom) are different words
tag	lemma_5994	high	NOM tac (day); all contexts are ein/der tag, teilen tag vnd nacht; lemma_1061=dagen (VRB/ADV to become day) is different
Tag	lemma_5994	high	capitalized tag at sentence start
tur	lemma_6266	high	NOM tûr (door/gate); all contexts are die/der tur der archen/gezeltes (door of ark/tent); lemma_6099=tiure (ADJ dear/expensive) and lemma_6272=tür are different
funden	lemma_7081	high	past participle of vinden (found); all contexts are wart/von do funden (was/from there found); lemma_76280=gevundeniu (ADJ) is a different form
Funden	lemma_7081	high	capitalized funden at sentence start
tut	lemma_6301	high	3sg present of tuon (does/makes); all contexts are tut disen/was tut; lemma_7770=zuo (CNJ/PRP) is completely different
Tut	lemma_6301	high	capitalized tut at sentence start
Wer	lemma_7482	high	interrogative/relative wer (who); all contexts are Wer ist/bistu/dicz (Who is/are you/this); lemma_5918=swâ, lemma_7505=wesen are false positives
gerichte	lemma_2164	high	NOM gerihte (justice/judgment); context is machen gerichte vnd gerechticheit; lemma_4913=rihten (VRB) would appear differently inflected
Gerichte	lemma_2164	high	capitalized gerichte at sentence start
purgen	lemma_944	high	NOM burc plural (fortresses/cities); all contexts are in den purgen; lemma_10988=bürge (NOM/VRB surety/guarantor) is a different word
veter	lemma_6771	high	NOM vater plural (fathers/forefathers); all contexts are die/deiner/vnser veter; lemma_7046=vetere is a non-canonical variant form
steine	lemma_5743	high	NOM stein (stone, pl or oblique sg); all contexts are czigel/grosen steine, Tragt steine; lemma_62338=Stein (NAM) is a proper name
name	lemma_4306	high	NOM name (name); context is wassers name ist (water's name is); lemma_4330=nemen (VRB to take) is a different word
furen	lemma_7283	high	infinitive of vüeren (to lead/guide); all contexts are furen in/deinen svn; lemma_6761=varn (VRB to go/travel) is a different word
heiden	lemma_2700	high	NOM heiden (nations/pagans/peoples); all contexts are biblical geteilt die heiden; lemma_2699=heide (NOM heath/wasteland) is a different word
