form	resolved_lemma	confidence	note
lege	lemma_3674	high	VRB legen (lay/place, 1/3sg subjunctive or imperative); all contexts are optative "das lege vnd halde", "lege deine hant" — placing/laying; lemma_3770=ligen (VRB lie/recline) is different; lemma_16149=læge (NOM) is different
legen	lemma_3674	high	VRB legen (to lay/place, infinitive or plural past); all contexts are "ich wil legen fur euch", "seine hant legen ouf" — infinitive; lemma_3770=ligen is different; lemma_16149=læge (NOM) is different
lenge	lemma_3705	high	NOM lenge (length); all contexts are "die lenge der archen", "Der archen lenge sol" — architectural measurement; lemma_3706=lengen (VRB to lengthen) is different
tal	lemma_6010	high	NOM tal (valley); all contexts are "bei dem tal", "in dem tal des amorrers" — geographical; lemma_11955=Bluome der Wilde (NAM) is clearly wrong
reich	lemma_4872	high	ADJ/NOM rîche (rich/kingdom); all contexts are "ires kindes reich", "was gar reich von habenden" — both NOM and ADJ covered by same lemma; lemma_4842=reichen (VRB to reach) is different; lemma_4930=Rîchart (NAM) is wrong
Sunder	lemma_5884	high	ADV sunder (but/except/without); all contexts are "nichte leren Sunder gleich als", "Sunder ein brvnne" — concessive/adversative conjunction; lemma_9550=sündære (NOM sinner) is completely different
rechte	lemma_4840	high	NOM/ADJ reht (right/justice/righteousness); all contexts are "Uon rechte ist sein", "was mit rechte vnd das" — nominal justice; lemma_4913=rihten (VRB to judge) would appear differently
leben	lemma_3659	high	VRB/NOM leben (to live/life); all contexts are "das ir leben also gevalle", "mir das leben", "swertes saltu leben" — both noun and verb senses covered by same lemma; lemma_3726=lewe (NOM lion) is completely different
sam	lemma_5085	high	ADV sam (as/like/as if); all contexts are "yst recht sam einer aus", "ein hŏe sam ein grap" — comparative/simile particle; lemma_5039=sâme (NOM seed) is a different word
vir	lemma_7063	high	NUM vier (four); all contexts are "vir hundert silbereiner", "vnd vir schaf", "vir guldeine ringe" — Bohemian spelling of vier; lemma_40212=vir is non-canonical duplicate
weis	lemma_7672	high	VRB wiʒʒen (know, 1/3sg present); all contexts are "ich weis wol das", "got der weis so" — cognition verb; lemma_7537=wîs (ADJ wise), lemma_7538=wîse (NOM way), lemma_7549=wîʒ (ADJ white) are different words
bite	lemma_722	high	VRB biten (pray/beg, 1sg present); all contexts are "Und bite dich das", "bite ich dich" — petitionary formula; lemma_687=bîten (VRB to wait/linger) is a different word
eyn	lemma_1331	high	ART/NUM ein (one/a); Bohemian spelling eyn; all contexts are "wil brengen eyn wenig wassers", "sie essen eyn brot" — indefinite article; lemma_2975=ân and lemma_3028=in are false positives
houses	lemma_2933	high	NOM hûs (house, genitive); unmatched Bohemian form; all contexts are "meines houses schaffers svn", "seines houses vnd alle" — genitive of house
gepite	lemma_1971	high	VRB gebieten (commanded, past 3sg dialectal); unmatched; all contexts are "vnser herre gepite von euch", "ich dir gepite" — past tense of to command; Bohemian dialectal subjunctive past form
mvnde	lemma_4252	high	NOM munt (mouth, dative singular); unmatched Bohemian spelling; all contexts are "in dem mvnde", "in deinem mvnde" — body part dative
vortilgen	lemma_6992	high	VRB vertilgen (to destroy/exterminate); unmatched Bohemian spelling (vor=ver prefix); all contexts are "Ich wil vortilgen", "vnd wil vortilgen alle hab" — destructive verb
ycliche	lemma_3006	high	ADJ iegelich (each/every); unmatched Bohemian spelling; all contexts are "ein ycliche vrow̆e" (every woman), "ycliche noch dem" — universal quantifier
czehenden	lemma_7780	high	ADJ/NOM zehende (tenth/tithe); unmatched Bohemian spelling (cz=z); all contexts are "an den czehenden meneden" (tenth month), "im den czehenden aus allem" (tithe from all)
silbereine	lemma_75669	high	ADJ silbern (silver/of silver); unmatched Bohemian form; all contexts are "dreissick silbereine pfenninge" (silver pennies), "tousent silbereine hab ich" — material adjective
