form	resolved_lemma	confidence	note
hant	lemma_2640	high	NOM hant (hand); all contexts are body part or idiom (czu hant=immediately, vber hant=upper hand); lemma_2598=haben is false positive
hab	lemma_2598	high	1sg present of haben (I have); all contexts are perfect auxiliary; lemma_2593=habe (NOM property) not present in samples
Hab	lemma_2598	high	capitalized hab at sentence start
namen	lemma_4306	high	genitive/dative of name (NOM); all contexts are durch/deinen/seinen namen; lemma_4308=namen (VRB to name), lemma_4330=nemen (VRB to take) are different words
wart	lemma_7489	high	past 3sg of werden (ward/wart=wurde); wart is specifically the past of werden, not wesen; lemma_7405=warte (NOM), lemma_7406=warten (VRB) are false positives
waren	lemma_7505	high	past plural of wesen (were); lemma_7338=wâr (ADJ true) would never appear as waren in biblical narrative prose
essen	lemma_1764	high	VRB/NOM ëʒʒen (to eat); all contexts are haben zu essen (have to eat); lemma_1726=esse (NOM chimney/forge) is completely different
Essen	lemma_1764	high	capitalized essen at sentence start
vil	lemma_7075	high	ADJ/ADV vil (much/many); lemma_6741=vallen (VRB to fall), lemma_7053=vîl (NOM) are clearly wrong candidates
hast	lemma_2598	high	2sg present of haben (you have); all contexts are du hast gegeben/getan; lemma_2681=haʒʒen (VRB to hate) is a completely different word
Hast	lemma_2598	high	capitalized hast at sentence start
stete	lemma_5732	high	plural of stat (cities/places); all contexts are plural nominal use; lemma_5713=stæte (ADJ steadfast) is a different word
geczelt	lemma_2361	high	NOM gezelt (tent); all contexts are sein geczelt (his tent); lemma_7793=zeln (VRB to count) is a completely different word
si	lemma_5454	high	personal pronoun sie (she/they); all contexts show pronoun; lemma_5432=sîn and lemma_5445=sich are false positives; lemma_48479=si (CNJ if) not attested in samples
Si	lemma_5454	high	capitalized si at sentence start
ougen	lemma_4524	high	NOM ouge (eyes, plural); all contexts are nominal; lemma_4525=öugen (VRB to show) is a different word
teil	lemma_6041	high	NOM teil (part/portion); all contexts are nominal; lemma_6042=teilen (VRB to divide) would appear with different inflection
schaf	lemma_5143	high	NOM schâf (sheep); all contexts are biblical livestock; lemma_5153=schaffen (VRB to create) is a different word
Schaf	lemma_5143	high	capitalized schaf at sentence start
samen	lemma_5039	high	NOM sâme (seed); all contexts are botanical/Gen 1; lemma_5089=samenen (VRB to gather), lemma_5090=sament (ADV together) are different words
gab	lemma_1961	high	past 3sg of geben (gave); all contexts are und gab im/ir/sie; lemma_1839=gâbe (NOM gift) is a different word
mag	lemma_4240	high	modal mügen (can/may, 3sg pres); all contexts are man mag/essen mag; lemma_3905=mâc (NOM kinsman) is a completely different word
Mag	lemma_4240	high	capitalized mag at sentence start
vorwar	lemma_8989	high	ADV vürwâr (verily/truly); all contexts are Got vorwar sprach; lemma_7014=verwarn (VRB to warn) is a different word
Vorwar	lemma_8989	high	capitalized vorwar at sentence start
sach	lemma_5366	high	past 3sg of sehen (saw); all contexts are got/er sach das; lemma_5046=sache (NOM matter), lemma_5062=sahs (NOM knife) are different words
gefurt	lemma_7283	high	past participle of vüeren (led/guided); ge- prefix is standard past participle formation; lemma_2316=gevüeren is a different prefixed verb
Gefurt	lemma_7283	high	capitalized gefurt at sentence start
blut	lemma_775	high	NOM bluot (blood); all contexts are biblical; lemma_770=blüejen (VRB to bloom) is completely wrong; lemma_776=pluot is dialectal duplicate
dor	lemma_1055	high	ADV dâr/dor (there/where); lemma_8055=dô'r is a non-canonical contracted form; lemma_1055 is the standard entry
Dor	lemma_1055	high	capitalized dor at sentence start
