form	resolved_lemma	confidence	note
ł	lemma_2	high	scribal abbreviation mark; unresolvable to MHG lemma
-	lemma_2	high	hyphen/dash noise token
̃	lemma_2	high	combining tilde diacritic; noise token
჻	lemma_2	high	Georgian paragraph separator; noise token
=	lemma_2	high	equals sign noise token
toho	lemma_78628	high	Czech interlinear gloss (gen. pronoun)
thoho	lemma_78628	high	Czech interlinear gloss; variant of toho
pzde	lemma_78628	high	Czech interlinear gloss
bzde	lemma_78628	high	Czech interlinear gloss; variant of pzde
zde	lemma_78628	high	Czech adverb "here"; interlinear gloss
ʒbohem	lemma_78628	high	Czech/mixed interlinear gloss
