form	resolved_lemma	confidence	note
niden	lemma_4357	high	nidene ADV below — "oben vnd niden" = above and below, "alter niden an dem" = altar below, all ADV
site	lemma_5505	high	site NOM custom/manner — "wenne diser site was der" = this custom, "dem selben site weihe" = same custom, all NOM
schenken	lemma_5206	high	schenke NOM cupbearer — "vorweser der schenken", "probst der schenken", all NOM (not schenken VRB)
wunden	lemma_7720	high	wunde NOM wound — "so der wunden ł smerczen", "enpfehet eyne wunden", all NOM wound
drucke	lemma_1236	high	drücken VRB press — "drucke wir sie", "noch drucke in mit", all VRB press/squeeze
recken	lemma_4825	high	recken VRB to stretch — "ł recken mein hant" = stretch my hand, all VRB (not recke ADJ)
turn	lemma_6308	high	turn NOM tower — "beiden hinder turn so wirt" = both behind the tower, all NOM tower
sachen	lemma_5046	high	sache NOM matter/case — "meinen wider sachen" = my adversaries/cases, NOM plural
sey	lemma_5432	high	sîn VEX to be (subjunctive) — "das es sey EXO ein" = that it be, all VEX subjunctive sein
mal	lemma_3907	high	mâl NOM time/instance — "zu einem mal wil ich" = once/at one time I will, NOM
gebrochen	lemma_843	high	brechen VRB broken — "stein ous gebrochen hat vnd" = stone broken out, VRB past participle
purde	lemma_924	high	bürde NOM burden — "gelegt die purde alles dises" = laid the burden of all this, NOM
solde	lemma_5608	high	soln VEM should — "ir antlicze solde sie nicht" = her face should she not, VEM past
helle	lemma_2741	high	helle NOM hell — "in die helle so wisset" = into hell so know, NOM (not hel ADJ lemma_2734)
enge	lemma_1409	high	enge ADJ narrow/passage — "in einer enge czweier mowern" = in the narrows of two walls, NOM/ADJ
erhaben	lemma_68308	high	erhaben ADJ raised/elevated — "Ouf erhaben wirt durch" = lifted up will be, ADJ past part (not erheben VRB)
Slahe	lemma_5525	high	slahen VRB strike! — "Slahe dich got" = may God strike you, VRB subjunctive/imperative
wilde	lemma_7615	high	wilde ADJ wild — "opfern sam wilde czigen" = offer like wild goats, ADJ (not NAM lemma_11955)
hoe	lemma_2866	high	hôch ADJ high — "ouf die hoe erde" = upon the high earth, ADJ (not hœhe NOM lemma_2881)
offenbare	lemma_4476	high	offenbære ADJ open/manifest — "LEUITICUS ein offenbare vnreinikeit" = a manifest uncleanness, ADJ
gerten	lemma_2179	high	gerte NOM rod/switch — "nam albereine gerten grune vnd" = took fresh green rods, NOM plural
Sende	lemma_5396	high	senden VRB send! — "Sende dorumme nv", "Sende man die", all VRB imperative
erschellen	lemma_1637	high	erschellen VRB to sound/ring — "her erschellen wirt die", "erschellen soltu die", all VRB
brant	lemma_840	high	brant NOM burning/brand — "brant vmb brant" = burning for burning (Exodus lex talionis), all NOM
verrer	lemma_6913	high	verre ADJ farther/further — "noch hoher verrer tack vnd" = still higher, farther day, comparative ADJ
We	lemma_7427	high	wê ADJ/INJ woe — "We dir Uorgangen", "sprach aber We wer wirt", "Und sprach We herre got", all INJ woe
Wisse	lemma_7672	high	wizzen VRB know! — "Wisse vorwissende das", "Wisse dorumme heute", all VRB imperative
swer	lemma_5924	high	swære ADJ heavy — "alczu swer ich wil" = too heavy, "hende waren swer" = hands were heavy, all ADJ
huben	lemma_2688	high	heben VRB lifted/began — "do huben sich an" = they set about/began, "ouf huben sie das" = lifted that, all VRB
vordern	lemma_7199	high	vordern NOM/VRB to demand — "wil ich vordern vnd von", "wil ich vordern des menschen", all VRB demand
ienen	lemma_3114	high	jener ADJ those/any — "namen von ienen steten" = from those places, "an ienen fride" = in any peace
