form	resolved_lemma	confidence	note
ringe	lemma_4917	high	NOM rinc (ring); all contexts "vir guldeine ringe", "Czwen ringe sullen sein" — golden rings; lemma_4918=ringe (ADJ thin) and lemma_4920=ringen (VRB) are different
iungen	lemma_3157	high	ADJ junc (young, oblique); all contexts "iren iungen tagen", "von dem iungen" — adjectival; lemma_3162=jungen (NOM) is secondary
gedienet	lemma_1145	high	VRB dienen (served, past participle); all contexts "hetten sie gedienet dem kunige" — service past; lemma_1996=gedienen is secondary compound
richte	lemma_4913	high	VRB rihten (set up/judge, past or imperative); all contexts "richte den vf", "richte czwisschen vns" — erecting/judging; lemma_4912=rihte (NOM) is different
ruche	lemma_31613	high	NOM rouch (smoke/aroma); all contexts "suzen ruche in der", "ruche der susicheit" — sweet aroma of offerings; lemma_5021=ruochen (VRB) is different
arbeit	lemma_269	high	NOM arbeit (work/labor/toil); all contexts "Sein arbeit er vorleuset", "an deiner arbeit" — nominal; lemma_270=arbeiten (VRB) is different
achten	lemma_96	high	ADJ ahtode (eighth, oblique); majority contexts "an dem achten tage" (on the eighth day) — ordinal; lemma_99=ahten (VRB to esteem) appears differently
sat	lemma_5041	high	NOM sat (sowing/crop/seed); all contexts "macht die sat", "steende sat ouf den" (standing crop) — agricultural; lemma_5122=sat (ADJ satisfied) is different
stifte	lemma_5771	high	VRB stiften (established/founded, past 3sg); all contexts "stifte das rippe", "er stifte ein stat" — founding; lemma_18458=stift (NOM) would need different inflection
sere	lemma_5351	high	ADV sere (greatly/very); all contexts "sere vber hant", "gar sere vnd sie" — intensive; lemma_5350=ser is non-canonical variant
were	lemma_7505	high	VRB wesen (were, past 3sg subjunctive); all contexts "das er were aldo", "das sie were dein" — subjunctive past; lemma_5961=swer, lemma_7482=wer, lemma_7496=wern are different
rue	lemma_5034	high	NOM ruowe (rest/peace); all contexts "gegen svnder rue in der", "noch der rue" — peaceful rest; lemma_4937=riuwe (grief) is different
slecht	lemma_5525	high	VRB slahen (strikes/beats, present 3sg); all contexts "slecht man mit", "slecht seinen nehesten" — smiting; lemma_5532=sleht (ADJ straight) is different
mas	lemma_11184	high	NOM maz (unit of measure); all contexts "das ander mas gomor", "Eine mas hatten alle" — biblical measure unit; lemma_4110=mezzen (VRB) is different
sunder	lemma_5884	high	ADV sunder (but/except); all contexts "nicht gelacht sunder ich bin", "sunder barmherczicheit" — adversative; lemma_9550=sundare (NOM sinner) is different
ym	lemma_10734	high	PRO ime (him, dative); unmatched Bohemian spelling; all contexts "czu ym", "vor ym" — dative pronoun; lemma_1517=er covers nominative
wilden	lemma_7615	high	ADJ wilde (wild, oblique); contexts reference wild animals; lemma_11955=NAM and lemma_7616=NAM are clearly wrong proper names
enczuntes	lemma_1511	high	VRB enzunden (burnt, genitive adjective); unmatched; all contexts "gancz enczuntes opfer" (whole burnt offering) — Levitical burnt offering
geperunge	lemma_44214	high	NOM geberunge (generation/lineage); unmatched Bohemian spelling; all contexts "sint die geperunge", "in diser geperunge" — genealogical
hout	lemma_2939	high	NOM hut (hide/skin); unmatched Bohemian vowel (ou=u); all contexts "die hout vnd den", "geczihen die hout" — sacrificial animal hide
czihende	lemma_7861	high	VRB ziehen (going/drawing, present participle); unmatched Bohemian; all contexts "czihende gegen mittemtage" — directional movement
czeuch	lemma_7861	high	VRB ziehen (move!/imperative); unmatched Bohemian spelling; all contexts "czeuch von mir", "czeuch vnd von" — movement command
barmherczicheit	lemma_36009	high	NOM barmherzecheit (mercy/compassion); unmatched Bohemian spelling; all contexts "dein barmherczicheit", "Die barmherczicheit" — divine mercy
