form	resolved_lemma	confidence	note
wanne	lemma_9209	high	wannen ADV from where — "du mait wanne kvmestu" = where do you come from, "von wanne seit ir" = from where are you, all ADV wannen (not swanne CNJ)
wete	lemma_7353	high	wæjen VRB to blow — "wint wete die gancze" = wind blew through the whole, "geist der wete" = spirit that blew, "nider wete" = blew downward, all VRB
siht	lemma_5366	high	sehen VRB sees — "wenne her siht an seinen" = when he sees at his, "siht ire schemde" = sees her shame, all VRB 3sg pres (not sîhte ADJ)
selden	lemma_5051	high	sælde NOM happiness/bliss — "Der ewigen selden hort" = the treasure of eternal bliss, "deiner diener selden" = your servants' bliss, all NOM
minne	lemma_4130	high	minne NOM love — "keiner minne funken" = no spark of love, "heiligen minne stramen" = streams of holy love, all NOM
meiden	lemma_4112	high	mîden VRB to avoid — "sult ir meiden Alles das" = you shall avoid all that, "sein zu meiden Den adelar" = to be avoided, the eagle, all VRB
recke	lemma_4825	high	recken VRB to stretch — "rute vnd recke dein hant" = rod and stretch your hand, all VRB imperative (not recke ADJ)
Niden	lemma_4357	high	nidene ADV below — "zu reisse Niden vorwar zu" = to tear, below truly, "vmme geworcht Niden aber" = worked around, below, all ADV (not nîden NOM envy)
Slach	lemma_5525	high	slahen VRB to strike! — "Slach sie vncz" = strike them until, "Slach die hinderteil" = strike the rear, all VRB imperative
tritt	lemma_6188	high	treten VRB to step — "hin zu tritt der sol" = steps there who shall, "die do tritt der trit" = who there steps, all VRB 3sg pres
scheide	lemma_5196	high	scheiden VRB to separate — "scheide ous der" = separate from the, "scheide ous teil" = separate into parts, all VRB imperative
halten	lemma_2629	high	halten VRB to keep/hold — "huten vnd halten sult ir" = guard and keep shall you, "das getefil halten" = hold the panel, all VRB (not erhellen VRB)
samt	lemma_5090	high	sament ADV/ADJ together — "mit samt in vorterbest" = together with him destroy ×2, all ADV "together"
gesament	lemma_5089	high	samenen VRB gathered — "wart gesament czu seinem" = was gathered to his, "wurden gesament alle" = were all gathered, all VRB past participle
walt	lemma_7376	high	walt NOM forest — "pflanczte einen walt zu vnd" = planted a forest, "in den walt holcz zu" = into the forest for wood, all NOM
weg	lemma_7431	high	wëc NOM way/path — "richten deinen weg" = direct your way, "ouf den weg do stunt" = on the way there stood, all NOM
muze	lemma_4238	high	müezen VEM may/must — "muze beiagen Der" = may pursue, "si muze czuchticlich furen" = may properly lead, all VEM modal
gebiten	lemma_1975	high	gebiten VRB to command — "er gebiten wirt seinen" = will command his, "siten gebiten vmb ew̆er" = commanded for your custom, all VRB (not gebîten NOM)
cronen	lemma_3480	high	krône NOM crown — "Under der cronen werden die" = under the crowns, "gegen der cronen Und lies" = against the crown, all NOM
lucerne	lemma_15569	high	lucerne NOM lamp — "siben lucerne vnd secze" = seven lamps and set, "steticlich die lucerne brinne" = constantly the lamp burn, all NOM (not Lûcerne NAM city)
clank	lemma_3343	high	klanc NOM sound/resonance — "hŏre seinen clank wenne her" = hear its sound when he, "des clank des kvnigs" = the sound of the king, all NOM
trost	lemma_6221	high	trôst NOM comfort — "wold nicht trost nemen" = would not take comfort, "nam her trost vnd gink" = took comfort and went, all NOM
span	lemma_5628	high	spân NOM shoulder-plate (vestment) — "das achsil span" = the shoulder plate, "dar achsil span vnd ŏrringe" = shoulder-plate and earrings, all NOM (tabernacle context)
kriegen	lemma_3465	high	kriegen VRB to fight/wage war — "wurden sie kriegen vnd den" = they began to fight, "ein ander kriegen" = fight each other, all VRB
wene	lemma_7355	high	wænen VRB to believe/think — "das er wene das ich" = that he believes that I, "noch wene das zu" = yet believes that, all VRB (not wenen VRB lemma_7480)
heime	lemma_2712	high	heim ADV at home — "ir do heime hette das" = she had at home there, "die do heime oder ousen" = those at home or outside, all ADV (not Heime NAM)
vollen	lemma_7163	high	vol ADJ/ADV full — "ruch eines vollen ackers" = smell of a full field, "ist nicht vollen ein vierteil" = not fully a quarter, all ADJ/ADV
ader	lemma_5	high	âder NOM vein — "im die ader seiner hufe" = the vein of his hoof, "rurte die ader seiner huf" = touched the vein of his hoof, all NOM (not oder CNJ)
funde	lemma_7081	high	vinden VRB found — "ich gnade funde vor meinem" = I found grace before my, "do funde wir das" = there we found that, all VRB past
berge	lemma_521	high	berc NOM mountain — "ouf einem berge vnd sein" = on a mountain, "ouf disem berge" = on this mountain, all NOM (not Perg NAM, not bergen VRB)
wille	lemma_7620	high	wille NOM will — "sei ir wille Und do" = be her will, "Gotis wille was das" = God's will was that, all NOM (not wellen VRB/VEM, not Wille NAM)
verren	lemma_6913	high	verre ADJ far — "von verren komen die" = came from afar, "einem verren lande sei" = from a far land, all ADJ/ADV (not verren NOM)
orden	lemma_4495	high	orden NOM order/rank — "aller sache orden" = order of all things, "weiplichem orden beide habn" = both have in female order, all NOM
versen	lemma_9746	high	verse NOM heel — "die versen seines bruders" = the heels of his brother (Jacob/Esau), "von der versen bis ouf" = from the heel upward, all NOM (not versus NOM Latin)
ruen	lemma_5035	high	ruowen VRB to rest — "nicht sullen ruen" = shall not rest, "veiern vnd ruen in den" = celebrate and rest in the, all VRB (not ruom NOM glory)
velt	lemma_6797	high	velt NOM field — "sie ein velt in der" = a field in the, "ouf das velt daz er" = onto the field that he, all NOM (not vallen NOM)
namens	lemma_4306	high	name NOM genitive — "des heiligen namens" = of the holy name, "meynes namens gedechtnusse" = my name's memory, all NOM genitive (not nemens PRO)
waz	lemma_7505	high	wesen VRB was — "iar alt waz do er" = years old was there he, "vor ny waz EXO erschinen" = never was appeared, all VRB past 3sg
