form	resolved_lemma	confidence	note
krichenden	lemma_3464	high	kriechen VRB creeping — "allen krichenden" = all crawling creatures
heuten	lemma_2939	high	hut NOM skin/hide — "aus heuten" = of skins (pl. dative)
vnfruchtber	lemma_22850	high	unvruhtbaere ADJ barren — "di was vnfruchtber" = was barren
bleibende	lemma_504	high	belieben VRB remaining — "was bleibende in den" = was remaining in
vrteilen	lemma_55908	high	urteilen VRB judge — "wil ich vrteilen" = will I judge
hinderteil	lemma_24741	high	hinderteil NOM backside — "des hinderteil der mich" = my backside
verrens	lemma_6913	high	verre ADJ/ADV far — "von verrens" = from afar (gen. adverbial)
gesalbet	lemma_5069	high	salben VRB anointed — "du hast gesalbet den stein" = you have anointed the stone
geczeug	lemma_2367	high	geziuge NOM testimony — "ein geczeug czwischen mir" = a testimony between us
Ire	lemma_56116	high	sie PRO her/their — "Ire tŏchter" = her daughters (cap. possessive)
stetin	lemma_5732	high	stat NOM city — "in irn stetin" = in their cities (pl. dative)
has	lemma_11816	high	haz NOM hatred — "trugen im has der vater" = the father bore him hatred
czeigte	lemma_7784	high	zeigen VRB showed — "czeigte sie irem" = showed her (past 3sg)
besiczungen	lemma_44139	high	besitzunge NOM possession — "in irn besiczungen" = in their possessions
grimme	lemma_39969	high	grim NOM fury/grimness — "in irem grimme" = in their fury
ler	lemma_63548	high	laere ADJ empty/void — "czihet ler svnder entlehen" = draw out empty
erwerfen	lemma_1702	high	erwerfen VRB throw at — "sie vns erwerfen mit steinen" = stone us
czale	lemma_7755	high	zal NOM number — "die czale zu wenig" = the number too few
gesneite	lemma_5594	high	sniden VRB circumcised — "in gesneite sult ir" = in the circumcised
bedacte	lemma_433	high	bedecken VRB covered — "wolken bedacte den perck" = clouds covered the mountain
spannen	lemma_5647	high	spannen VRB stretch — "zu samen spannen" = to stretch together
blechen	lemma_740	high	blech NOM plate/sheet — "mit guldeinen blechen" = with golden plates
erein	lemma_1285	high	erin ADJ bronze — "vnd grunde erein" = and bronze bases (variant of ereine)
rost	lemma_4977	high	rost NOM grate/grid — "einen rost zu gleicher" = a grate at equal height
geceldis	lemma_2361	high	gezelt NOM tent — "des grosen geceldis" = of the great tent (gen.)
dovmen	lemma_1243	high	dume NOM thumb — "ouf die dovmen irr hende" = on their thumbs
czagil	lemma_7750	high	zagel NOM tail — "den czagil vnd das" = the tail and that
enczunde	lemma_1511	high	enzunden VRB kindle — "das enczunde ouf dem" = the kindled one upon
salbe	lemma_5069	high	salben VRB anoint — "tu vnd salbe den" = do and anoint (VRB IMP)
gesvndert	lemma_5888	high	sundern VRB separated/set apart — "wart gesvndert" = was separated
purpir	lemma_4763	high	purpura ADJ/NOM purple — "purpir vnd rotes" = purple and red
rouchvas	lemma_11699	high	rouchvaz NOM incense vessel — "DUS rouchvas ous reinem" = censer from pure
tvnke	lemma_59702	high	tunken VRB dip — "so tvnke der priester" = then the priest shall dip
lemmern	lemma_3589	high	lamp NOM lamb — "von den lemmern" = from the lambs (pl. dative)
czelen	lemma_7793	high	zeln VRB count — "ir dorvmme czelen" = count them therefore
iarczal	lemma_9803	high	jarzal NOM year-count — "iarczal aller sammenunge" = year-count of the assembly
czigenpocke	lemma_784	high	boc NOM goat — "czigenpocke" pl. of ziegenbocke = he-goats
czigenpock	lemma_784	high	boc NOM goat — "einen czigenpock" = a he-goat (ziegenbock compound)
mowern	lemma_4220	high	mure NOM wall — "ane mowern sint die" = without walls
waisen	lemma_7462	high	weise NOM orphan/wise — "des waisen" = of the orphan
heim	lemma_2712	high	heim ADV/NOM home — "friede wider heim" = peace back home
gestift	lemma_2256	high	gestift NOM foundation — "dise gestift" = this foundation/institute
arbeiten	lemma_270	high	arbeiten VRB work — "du sie arbeiten wirst" = you will make them work
nevnhundert	lemma_13645	high	niunhundert NUM nine hundred — "nevnhundert vnd czwelf" = 912
vormeiligt	lemma_18886	high	heiligen VRB sanctify — "vormeiligt was" = was desecrated (un-sanctified)
geperen	lemma_1964	high	gebern VRB bear/birth — "wirst geperen einen svn" = will bear a son
wachsende	lemma_7360	high	wahsen VRB grow — "machen dich wachsende" = make you grow
vorlisen	lemma_6888	high	verliesen VRB lose — Bohemian vor-=ver- "wiltu so vorlisen" = will you lose
grŏsten	lemma_2534	high	groz ADJ/NOM greatest — "zu dem grŏsten" = to the greatest (superl.)
houfe	lemma_2932	high	hufe NOM heap/pile — "trage zu houfe" = bring into a heap
