form	resolved_lemma	confidence	note
et	lemma_78608	high	Latin et (and/etcetera); lemma_78608 already in lexicon
O	lemma_4445	high	interjection ô! exclamation mark (O Got, O were wir)
o	lemma_2	high	mostly abbreviation/noise marker; 2 interjection instances patched separately
s	lemma_2	high	scribal abbreviation mark (s = svn, s schafhirte, etc.)
ber	lemma_2	high	scribal section opener after etcetera/before CAPITULUM; structural noise
erstlinge	lemma_2	high	Erstlinge (firstfruits) — biblical term not in MHDBDB lexicon
humeral	lemma_2	high	humeral (liturgical vestment) — Latin term not in MHDBDB lexicon
keuchel	lemma_2	high	keuchel (type of offering bread) — Levitical term not in MHDBDB lexicon
hebreer	lemma_2	high	Hebräer (Hebrew people) — no NAM entry in MHDBDB lexicon
leuitischen	lemma_2	high	leuitischen (Levitical) — biblical term not in MHDBDB lexicon
ostnischen	lemma_2	high	ostnischen (eastern) — directional adj not in MHDBDB lexicon
westnischen	lemma_2	high	westnischen (western) — directional adj not in MHDBDB lexicon
nichtenicht	lemma_2	high	nichtenicht — compound noise/split token
stakten	lemma_2	high	stakten (stacte, a spice) — Levitical term not in MHDBDB lexicon
schupen	lemma_2	high	schupen (scales of fish) — Levitical term not in MHDBDB lexicon
abscheidunge	lemma_2	high	abscheidunge (separation/departure) — not in MHDBDB lexicon
leite	lemma_3692	high	leite VRB = leiten (to lead): dominant usage across all instances; 1 NOM exception patched
