form	resolved_lemma	confidence	note
gesvndet	lemma_5867	high	sunde NOM/VRB sin — "volk hat gesvndet" = the people sinned
bedakte	lemma_433	high	bedecken VRB covered — "her bedakte wider sein" = covered again
vngemeiligtes	lemma_18886	high	heiligen VRB sanctify — "vngemeiligtes knechtil" unconsecrated offering
enczunte	lemma_1511	high	enzunden VRB kindled — "gancz enczunte opfer" = whole burnt offering
geczelden	lemma_2361	high	gezelt NOM tent — "in den geczelden" = in the tents (pl. dative)
esse	lemma_1764	high	ezzzen VRB eat — "esse vnd lebe" = eat and live (1sg pres.)
meidel	lemma_3926	high	maget NOM maiden/girl — "meidel" Bohemian variant
dach	lemma_1060	high	dach NOM roof/lid — "auf das dach der archen" = upon the roof of the ark
grosem	lemma_2534	high	groz ADJ large — "in grosem vihe" = among large livestock (dat.)
Dorvmbe	lemma_30703	high	darumbe ADV therefore — "Dorvmbe rufe ich" = therefore I call (cap.)
rache	lemma_57802	high	rache NOM revenge — "Sibenueldige rache" = sevenfold revenge
heile	lemma_2711	high	heilen VRB heal — "heile dich das" = heal yourself
fried	lemma_7233	high	vride NOM peace — "einen fried" = a peace/truce (variant of friede)
vorsmehet	lemma_6961	high	versmæhen VRB despised — Bohemian vor-=ver- "ich bin vorsmehet"
wanderst	lemma_15174	high	wandern VRB wander — "das du wanderst mit vns" = that you walk with us
vberige	lemma_6375	high	uberic ADJ/NOM remainder — "das vberige giesse" = pour the remainder
anruret	lemma_20574	high	anrueren VRB touch — "vnreines anruret" = touches unclean
enczuntem	lemma_1511	high	enzunden VRB kindled — "gancz enczuntem opfer" = whole burnt offering
volken	lemma_7166	high	volc NOM people — "von andern volken" = from other peoples (pl.)
posen	lemma_788	high	boese ADJ evil — "posen dinge" = evil things (Bohemian p=b)
vngemeiligter	lemma_18886	high	heiligen VRB sanctify — "vngemeiligter lemmer" unconsecrated lambs
besiczvnge	lemma_44139	high	besitzunge NOM possession — "von der besiczvnge irr bruder"
roten	lemma_4954	high	rot ADJ red — "Im roten mere" = in the Red Sea (adj. dative)
buche	lemma_936	high	buoch NOM book — "in disem buche" = in this book
vorterbten	lemma_6835	high	verderben VRB destroy — Bohemian vor-=ver- "nicht vorterbten"
geczeuknus	lemma_2367	high	geziuge NOM testimony — "geczeldis des geczeuknus" = tent of testimony
schepfte	lemma_5212	high	schepfen VRB create — "anegenge schepfte got" = in the beginning God created
ieriger	lemma_27278	high	jaeric ADJ yearling — "ieriger lemmer" = yearling lambs
schone	lemma_5280	high	schoene ADJ beautiful — "das sie schone was" = that she was beautiful
alls	lemma_106	high	al ADJ/ADV all — "giengen sie alls in got" = they all went into God
czeige	lemma_7784	high	zeigen VRB show — "ich dir czeige" = I show you (Bohemian cz=z)
neigende	lemma_4326	high	neigen VRB bowing — "iren henden neigende ouf die" = bowing onto their hands
suche	lemma_5903	high	suochen VRB seek — "Meine bruder suche ich" = my brothers I seek
kunst	lemma_3541	high	kunst NOM art/skill — "in der kunst der weissagunge" = art of prophecy
gebende	lemma_1961	high	geben VRB give — "rede gebende" = speech-giving (VRB participle)
lage	lemma_3770	high	ligen VRB lay — "nicht lage ein toter" = no dead man lay (past 3sg)
Rede	lemma_4826	high	rede NOM speech/words — "sprach zu Rede" = spoke words (cap.)
sende	lemma_5396	high	senden VRB send — "heiligen geiste sende" = sends the Holy Spirit
irm	lemma_56116	high	sie PRO her/its — "tyr mit irm namen" = animal with its name (dat. PRO)
