form	resolved_lemma	confidence	note
horest	lemma_2885	high	hoeren VRB hear — "das du horest seine stimme" = that you hear his voice
seuche	lemma_11369	high	siuche NOM plague/illness — "vorgangen die seuche" = the plague has passed
mynnern	lemma_4134	high	minner ADJ lesser/younger — "zu der mynnern" = to the lesser/younger
erstgebornen	lemma_34610	high	erstgeborn ADJ firstborn — "deinen erstgebornen svn" (variant of erstgepornen)
czeigen	lemma_7784	high	zeigen VRB show — "dir wil czeigen" = will show you
vorchtest	lemma_7298	high	vürhten VRB feared — "du got vorchtest" = you feared God (2sg past)
gegenworticheit	lemma_36056	high	gegenwerticheit NOM presence — "in der gegenworticheit der kinder"
gevellet	lemma_2292	high	gevallen VRB falls — "ein anders gevellet" = another falls/pleases
Czeuch	lemma_7861	high	ziehen VRB depart — "Czeuch von vns" = depart from us (IMP cap.)
gruben	lemma_2486	high	graben VRB dug — "sie gruben an der" = they dug at (past 3pl.)
vluchet	lemma_7150	high	vluochen VRB curse — "Der dir vluchet" = who curses you
malen	lemma_3907	high	mal NOM time/occasion — "czu czehen malen" = ten times (pl. of mâl)
wegis	lemma_7431	high	wec NOM way — "deines wegis" = of your way (gen.)
veiste	lemma_12343	high	veizt ADJ fat — "ochssen gar veiste" = very fat oxen
vorkoufe	lemma_6879	high	verkoufen VRB sell — "man vorkoufe weicz" = one should sell wheat
weicz	lemma_11998	high	weize NOM wheat — "vorkoufe weicz" = sell wheat
gevenknusse	lemma_6754	high	gevancnisse NOM imprisonment — "in dem gevenknusse" = in captivity
slach	lemma_5525	high	slahen VRB slay — "heim vnd slach vich" = go home and slay cattle
esiln	lemma_1723	high	esel NOM donkey — "futer iren esiln" = fodder for their donkeys (pl.)
brustil	lemma_909	high	brust NOM breast — "segen der brustil" = blessing of the breast (dim.)
gerufet	lemma_5028	high	ruofen VRB called — "hat vns gerufet" = has called us
dienest	lemma_1146	high	dienest NOM service — "ous dem dienest" = from the service
reitenden	lemma_4885	high	riten VRB riding — "in seinen reitenden" = among his horsemen
vorczert	lemma_7817	high	zern VRB consumed — Bohemian vor-=ver- "wirstu vorczert" = you will be consumed
czan	lemma_7764	high	zant NOM tooth — "vmb ouge czan vmbe czan" = tooth for tooth
gegenwortig	lemma_36573	high	gegenwertic ADJ present — "herre nicht gegenwortig" (same as gegenwortigen)
vorczihen	lemma_7036	high	verzîhen VRB pardon — Bohemian vor-=ver- "euch wirt vorczihen"
salben	lemma_5069	high	salben VRB anoint — "wurcze zu salben" = herbs for anointing
weihen	lemma_7525	high	wihen VRB consecrate — "hende saltu weihen" = hands you shall consecrate
tires	lemma_6080	high	tier NOM animal — "opfer tires" genitive of opfertir compound
fugte	lemma_7282	high	vuegen VRB joined/added — "vmmehenge fugte her zu" = added hangings to
giessende	lemma_2392	high	giezen VRB pouring — "vorgulte her giessende" = gilded by pouring
tousenten	lemma_6267	high	tusent NUM thousand — "von dreien tousenten" = from three thousands
gesinden	lemma_2225	high	gesinde NOM servants — "noch iren gesinden" = also their servants
gereicht	lemma_4842	high	reichen VRB reached/handed — "Ich hab gereicht ausgenomen" = I have extended/reached
gebleichet	lemma_744	high	bleichen VRB bleached — "czwir gebleichet" = twice bleached (variant of gebleichter)
