form	resolved_lemma	confidence	note
wenn̆	lemma_7385	high	wan CNJ when/if — breve-diacritic variant of "wenne", "die breite wenn̆ dir wil" = the width when you will, all CNJ temporal/conditional (breve-diacritic wenne)
tŏte	lemma_6118	high	tôt ADJ/NOM dead — breve-ö variant of "tote", "den tŏte man vor" = the dead man before, ADJ/NOM dead (breve-diacritic tôt)
few̆ers	lemma_7108	high	viur NOM fire — breve/w-diacritic on vowel, genitive form, "lampen des few̆ers geende czwisschen" = lamps of the fire going between, NOM genitive (breve-diacritic viur, same word as few̆er batch32/33)
wirft	lemma_7489	high	werden VEX will/become — Bavarian dialectal 2sg present "du wirft" = Standard "du wirst" (you will), "svnder du wirft geheissen wenne" = but you will be called when, all VEX 2sg indicative
fuzes	lemma_7320	high	vuoʒ NOM foot — "cz" for "z" + "u" for MHG "uo", genitive form, "des rechten fuzes vnd geuss" = of the right foot and pour, "des rechten fuzes" = of the right foot, all NOM genitive (Leviticus/Exodus consecration ritual)
mittagis	lemma_20031	high	mittentac NOM midday/south — genitive form, "an der mittagis seiten die" = on the south/midday side the, all NOM genitive (tabernacle orientation context)
gereiczet	lemma_4862	high	reiʒen VRB provoke/entice — ge- prefix + "cz" for "z", past participle, "das do gereiczet wart wider" = that was provoked there against, all VRB past part. (ge+reizen)
vorsteten	lemma_44091	high	vorstat NOM suburb/outlying area — plural/dative form, "mit iren vorsteten Und die" = with their suburbs And the, "vnd ire vorsteten" = and their suburbs, all NOM plural/dative
vorstete	lemma_44091	high	vorstat NOM suburb/outlying area — dative/nom. form, "vnd ire vorstete in dem" = and their suburbs in the, all NOM (variant of vorsteten)
gehere	lemma_2034	high	gehoerde NOM hearing/auditory faculty — "ehe" for "oerd" variant, "vnd das gehere weislecht vnd" = and the hearing/auditory wisdom and, all NOM (biblical sensory context)
czunge	lemma_7924	high	zunge NOM tongue/language — "cz" for "z" Bavarian variant, "In deutsche czunge v­ vnd" = In German tongue/language, all NOM
lei	lemma_3685	medium	leie NOM kind/sort/manner — short form meaning "Art, Weise" (kind/sort, not layman), "Noch der lei das do" = still the kind/type that there, "ouf welcher lei der toten" = of which kind of the dead, all NOM (closest available lemma; semantic field is "kind/sort" not "layman")
puluer	lemma_4755	high	pulvis NOM powder/dust — "v" for "v", MHG/Latin pulvis (powder, incense ingredient), "vnd thymiamischen puluer czu machen" = and thyme-incense powder to make, all NOM (incense/tabernacle context)
czweihundert	lemma_7931	high	zweihundert NUM two hundred — "cz" for "z" Bavarian variant, "iar vnd czweihundert iare" = year and two hundred years, all NUM
honikseim	lemma_16515	high	seim NOM honeycomb/honey-wax — compound form (honig+seim), "vnd von honikseim Hŏre" = and from honeycomb, all NOM (compound of honig + seim; biblical manna/offering context)
newkomen	lemma_8598	high	niuwekomen VRB newcomer/newly arrived — compound "new+kommen", "gerichte des newkomen vnd des" = judgment of the newcomer and, all VRB/NOM (Leviticus resident alien context)
nevkomen	lemma_8598	high	niuwekomen VRB newcomer/newly arrived — "ev" for "iu" variant of newkomen, "von den nevkomen di do" = from the newcomers who there, all VRB/NOM (same word as newkomen, variant spelling)
clouben	lemma_3371	high	klûben VRB to pick/glean — "cl" for "kl" scribal variant, "geen vnd clouben stuppil vnd" = go and glean stubble and, all VRB (gleaning context, Leviticus harvest law)
anevank	lemma_256	high	antvanc NOM beginning/inception — "v" for "f" variant of anevanc, "Aber der anevank seines reiches" = But the beginning of his kingdom, all NOM (Genesis Nimrod passage)
camel	lemma_13480	high	kembel NOM camel — Latin/Romance spelling "camel" vs MHG "kembel", "brachte czehen camel von der" = brought ten camels from the, "czehen camel" = ten camels, all NOM (Genesis Rebekah context)
czige	lemma_26851	high	zige NOM goat — "cz" for "z" Bavarian variant, "das ein czige ist sein" = that a goat is, all NOM (Leviticus clean/unclean animals)
