form	resolved_lemma	confidence	note
al	lemma_106	high	al ADJ all — "nacht al do geslief", "gesehen vber al", all contexts ADJ (not âl eel or âle awl)
weren	lemma_7505	high	wesen VRB past 3pl were — "wir weren nv zu", "geloubet vnd weren gleich", all VRB
granat	lemma_2481	high	grânât NOM pomegranate — "den fuzen granat ŏpfil gemacht", biblical pomegranate ornaments (not NAM Granat de Grosie)
ackers	lemma_51	high	acker NOM field — "teil seines ackers Und gebe", genitive (not NAM Akkon lemma_54)
vel	lemma_6790	high	vël NOM hide/skin — "ein rouhes vel vnd des", all NOM (not vil ADJ lemma_7075)
suchte	lemma_5903	high	suochen VRB sought — "was er suchte", "Do den suchte do vant", all VRB past
schame	lemma_5166	high	scham NOM shame — "ewer schame so das", "enplecke ire schame", all NOM
raben	lemma_12322	high	raben NOM ravens — "aus den raben Der fur", all NOM (not NAM Ravenna lemma_12435)
fuge	lemma_7316	high	vuoge NOM joint/fitting — "Ous den fuge funf zu", tabernacle joints, all NOM
beste	lemma_597	high	bezzist ADJ superlative best — "das allir beste golt", all superlative ADJ (not bestân VRB lemma_594)
erst	lemma_1288	high	êrste ADJ first/firstborn — "der erst geborne svn", "ire erst gepornen kinder", all ordinal ADJ
schult	lemma_5332	high	schulde NOM fault/guilt — "Ŭmb was schult", "bleibet ane schult", all NOM (not soln VEM lemma_5608)
wuste	lemma_7704	high	wüeste ADJ desolate — "mache wuste ewer heiligtum", "die erde wuste", all ADJ predicate
lieben	lemma_3765	high	liebe ADJ dear/beloved — "Czu diser lieben abenttewer", "trincket mein lieben frunt", all ADJ
enpfant	lemma_1436	high	enphâhen VRB received — "her enpfant des nicht", "do er enpfant des gewandes", all VRB past
vorn	lemma_7205	high	vorne ADV in front — "dise beide vorn vnd hinden", "dorinne do vorn", all ADV
gepere	lemma_1964	high	gebern VRB bore/gave birth — "gepere ouf meinen", "die erde gepere", all VRB subjunctive/imperative
gewonen	lemma_2353	high	gewonen VRB to dwell/be accustomed — "mochten nicht gewonen bei ein", "ir gewonen muget in", all VRB
Unde	lemma_6467	high	und CNJ and — "Unde her gieng", "das volk Unde das wirt", all CNJ
hand	lemma_2640	high	hant NOM hand — "keiner hand geticht", "mancher hand varbe" (many-kind/many-colored idiom), all NOM idiom
furt	lemma_7283	high	vüeren VRB led/carried — "furt mit im", "kunigs gepot furt man ous", "furt vns von", all VRB past
hol	lemma_2889	high	hol ADJ hollow — "in das hol des steines", "ler vnd hol saltu", all hollow contexts
Stet	lemma_5710	high	stân VRB stand up — "Stet ouf vnd", imperative 2pl "stand up!" throughout
boze	lemma_788	high	bœse ADJ evil — "vmb eine boze svnde", "gut oder boze sei", all ADJ evil/wicked
alde	lemma_155	high	alt ADJ old — "in ein alde cistern", "alde" = inflected form of alt ADJ old
gewest	lemma_7505	high	wesen VRB been (past participle) — "bist gewest der stimme", "du gewest bist ein", all VRB past part
all	lemma_106	high	al ADJ all — "ich euch all hie nicht", same as al (count=3)
liebe	lemma_3765	high	liebe ADJ/NOM love/dear — "werden in liebe truncken Als", "in liebe" NOM love
gerne	lemma_2175	high	gerne ADV gladly — "Das sie gerne hŏrent lesen", "als er gerne isset", all ADV
bozen	lemma_788	high	bœse ADJ evil — "vnd des bozen", genitive "of the evil one", same as boze
ture	lemma_6272	high	tür NOM door — "an der ture", "zu der ture des geczeldis", all NOM door
galle	lemma_1878	high	galle NOM bile/gall — "czweik geperende galle vnd pitterkeit", all NOM (not NAM Gallus)
mut	lemma_4264	high	muot NOM spirit/mood — "sich mein mut", "vrolichen mut", all NOM spirit/mood
gewissen	lemma_2352	high	gewizzen NOM conscience/certainty — "in vnser gewissen", "mag ich gewissen das ich"
glich	lemma_2065	high	gelîch ADJ equal/like — "das meyn glich nicht", "hagils des glich nicht gewesen", all ADJ/NOM equal
leget	lemma_3674	high	legen VRB laid/placed — "housvrowen vnd leget czu samen", "leget czu" = VRB past 3sg
