form	resolved_lemma	confidence	note
an	lemma_199	high	preposition an (on/at/to PRP); all contexts show prepositional use; lemma_13=âne, lemma_1331=ein, lemma_210=ane, lemma_2570=gunnen are false positives from variant matching
An	lemma_199	high	capitalized an at sentence start
wider	lemma_7557	high	ADV/PRP wieder/wider (again/back/against); all contexts show adverbial use; lemma_12326=wider (NOM=Widder ram) is a different word
Wider	lemma_7557	high	capitalized wider at sentence start
erden	lemma_1545	high	dative/genitive of erde (earth NOM); all contexts are auf/von der erden; lemma_57649=ören (VRB) is completely different
erde	lemma_1545	high	nominative erde (earth); lemma_57649=ören (VRB to hear/harrow) is completely different
bis	lemma_10651	high	ADV biz/bis (until/till); all contexts are temporal; lemma_5432=sîn, lemma_9197=bîm are false positives
Bis	lemma_10651	high	capitalized bis at sentence start
opfer	lemma_4488	high	NOM opfer (sacrifice/offering); all contexts show nominal use; lemma_4489=opfern (VRB) would not appear without inflection
Opfer	lemma_4488	high	capitalized opfer at sentence start
stat	lemma_5732	high	NOM stat (place/city/stead); all contexts show nominal use; lemma_5710=stân (VRB to stand) is a different word
di	lemma_1139	high	variant spelling of die (ART); all contexts show article or relative pronoun; both candidates are article lemmata; lemma_1139 is the feminine/plural
ire	lemma_5454	high	possessive/dative ire (her/their); all contexts show possessive use; lemma_56116 is non-canonical duplicate of sie
sei	lemma_5432	high	3sg subjunctive present of sîn (be!); all contexts are jussive/optative; lemma_56116=sie (PRO) is clearly wrong
Sei	lemma_5432	high	capitalized sei at sentence start
haben	lemma_2598	high	VRB haben (to have); all contexts show verb; lemma_2593=habe (NOM property), lemma_2688=heben (VRB to lift) are different words
Haben	lemma_2598	high	capitalized haben at sentence start
mein	lemma_3001	high	possessive pronoun mein (my); all contexts show possessive use; lemma_4048=mein (ADJ treacherous), lemma_4051=meinen (VRB) are different words
Mein	lemma_3001	high	capitalized mein at sentence start
seine	lemma_5377	high	possessive pronoun seine (his); all contexts show possessive; lemma_1517=er (PRO), lemma_19022=Seyne (NAM) are wrong
Seine	lemma_5377	high	capitalized seine (note: Seine river NAM excluded; context always shows possessive)
iren	lemma_5454	high	possessive/dative iren (their/her); all contexts show possessive; lemma_3066=irre (ADJ erring), lemma_3067=irren (VRB) are completely different words
Iren	lemma_5454	high	capitalized iren at sentence start
gepoten	lemma_1971	high	past participle of gebieten (commanded/bidden); all contexts are got gepoten (God commanded); lemma_1978=gebot (NOM commandment) is a different word
alter	lemma_156	high	NOM altar (altar); all contexts are stifte/auf den alter; lemma_155=alt (ADJ old) is a completely different word
