form	resolved_lemma	confidence	note
yeclicher	lemma_3006	high	iegelich ADJ every/each one — "Ein yeclicher dorumbe" = every one therefore, "yeclicher der nicht" = everyone who, all ADJ (Bohemian y=ie spelling)
yeclichem	lemma_3006	high	iegelich ADJ every — "Czwei aus yeclichem sulln" = two from each shall, "einem yeclichem gleich teil" = each equal part, all ADJ dative
yeclichen	lemma_3006	high	iegelich ADJ every — "einem yeclichen sein gelt" = each his money, "yeclichen gleich teil" = each equal part, all ADJ accusative
yecliches	lemma_3006	high	iegelich ADJ every — "ein yecliches noch seinem" = every one according to its, all ADJ genitive
yeclichs	lemma_3006	high	iegelich ADJ every — "Und ein yeclichs vligendes noch seinem" = and every flying one, all ADJ (contracted)
vorkoufen	lemma_6879	high	verkoufen VRB to sell — "besser wir vorkoufen in den" = better we sell him (Joseph), "zu vorkoufen ire besiczunge" = to sell their possessions, all VRB (Bohemian v=v)
vorkoufte	lemma_6879	high	verkoufen VRB sold — "swur vnd vorkoufte sein erste" = swore and sold his birthright, "man speise vorkoufte zu" = they sold food, all VRB past 3sg
vorkouften	lemma_6879	high	verkoufen VRB sold — "den koufleuten vorkouften sie in" = sold him to the merchants, all VRB past pl
vorkoufende	lemma_6879	high	verkoufen VRB selling — "egiptische ekkir vorkoufende ein yeclicher" = selling Egyptian fields each one, all VRB present participle
vorkoufest	lemma_6879	high	verkoufen VRB sell — "du ichtesicht vorkoufest deinem purger" = you sell something to your neighbor, VRB 2sg pres
vorkoufunge	lemma_44905	high	verkoufunge NOM sale/selling — "von der vorkoufunge des getreides" = from the sale of grain, "iare alle vorkoufunge kvmet wider" = year all sale comes back, all NOM (Leviticus jubilee redemption laws)
furest	lemma_7283	high	vüeren VRB lead/bring — "furest meinen svn" = you bring my son, "du ous furest mein volk" = you lead out my people, "sie furest gevangen" = you lead them captive, all VRB 2sg pres (Bohemian f=v, like Fur batch29)
nahent	lemma_4290	high	nâhen VRB to approach — "drei man nahent bei im" = three men drew near to him, "die do nahent sint" = those who approach, "Sich nahent ist der" = one who approaches, all VRB present (not nâch ADJ)
nehen	lemma_4290	high	nâhen VRB to approach — "dem hin nehen noch das" = drawing near to that, all VRB (variant spelling nehen=nahen)
Wes	lemma_5961	high	swer PRO whose — "Wes tochter bistu" ×2 = whose daughter are you, "Wes bistu oder" = whose are you, all interrogative genitive PRO (capitalized variant of wes batch31)
wollende	lemma_7473	high	wëllen VEM wanting — "der nicht wollende blut vorgeusset" = who, not wanting to shed blood, "bruder nicht wollende im das" = brother not wanting that for him, all VEM present participle
volfuren	lemma_7191	high	volvüeren VRB to fulfill/carry out — "gut Muze volfuren in seinen" = may well fulfill in his, "volfuren schol sie schuldig" = shall she be obligated to fulfill, all VRB
veigen	lemma_7052	high	vîge NOM fig — "von veigen der selben" = of the figs of the same, "die wedir veigen gepirt" = which produces neither figs, "in der veigen vnd granat" = in the figs and pomegranate, all NOM (false candidate match — correct lemma is vîge NOM, not veige ADJ cowardly)
wache	lemma_7346	high	wachen VRB/NOM watch/guard — "die wache der mettenczeit" = the watch of matins, "Die wache des heiligtumes" = the watch of the sanctuary, "in der wache vnsers herren" = in the watch of our lord, all NOM guard/watch
bŏses	lemma_788	high	bœse ADJ evil/bad — "gutes vnd bŏses" = good and evil ×2, "her ein bŏses wilt hat" = he has an evil will, all ADJ (breve-diacritic variant of bozes/boses)
dŏner	lemma_1198	high	doner NOM thunder — "das die dŏner gotis" = the thunders of God, "wurden die dŏner vnd der" = the thunders and the, all NOM plural (Exodus thunder plagues)
grŏser	lemma_2534	high	grôz ADJ greater — "bruder wirt grŏser wenne her" = brother will be greater than, "das do grŏser vnd stercker" = that is greater and stronger, all ADJ comparative (breve-diacritic grôz, like grossen batch29)
hŏre	lemma_2885	high	hœren VRB to hear — "dir saget hŏre ir stimme" = hear her voice, "Ich hŏre dich" = I hear you, "mein kint hŏre meine stimme" = my child hear my voice, all VRB (breve-diacritic variant of hœren)
hŏrest	lemma_2885	high	hœren VRB to hear — "du mich hŏrest Ich wil" = you hear me, "das du hŏrest die stimme" = that you hear the voice, all VRB 2sg pres
hŏrner	lemma_2904	high	horn NOM horns — "rure die hŏrner des alters" ×2 = touch the horns of the altar, "winkeln giengen hŏrner vnd" = at the corners went horns, all NOM plural (breve-diacritic variant of horner batch31)
nŏrden	lemma_4424	high	nort ADV north — "gen nŏrden" ×3 = toward the north, "gegen nŏrden Und von" = toward the north and from, all ADV directional (breve-diacritic variant)
schŏner	lemma_5280	high	schœne ADJ beautiful — "vnd gar schŏner Und ander" = and very beautiful and other, "ougen sint schŏner wenn̆ der" = eyes are more beautiful than, all ADJ (breve-diacritic variant, like schonen batch30)
tŏtet	lemma_6133	high	tœten VRB kills/kill — "ist so tŏtet es ist" = is so: it kills, "schaf vnd tŏtet das" = sheep and kill it, "das ir tŏtet ein opfertir" = that you kill a sacrificial animal, all VRB (breve-diacritic variant of totte batch30)
tŏtte	lemma_6133	high	tœten VRB killed — "tŏtte er das" = he killed that, "tŏtte das kalp" = killed the calf, "tŏtte den czigen" = killed the goat, all VRB past 3sg (breve-diacritic variant of totte batch30)
vŏrchte	lemma_7298	high	vürhten VRB to fear — "Nicht vŏrchte dich wenne" ×2 = do not fear when, "vŏrchte ich das" = I fear that, "in sere vŏrchte das er" = feared greatly that he, all VRB (breve-diacritic variant of vorchte; consistently VRB not NOM here)
wŏllen	lemma_7473	high	wëllen VEM to want — "Was wŏllen dise vrowen" = what do these women want, "friedsam vnd wŏllen wonen mit" = peaceful and wanting to dwell with, all VEM (breve-diacritic variant)
wŏllet	lemma_7473	high	wëllen VEM to want — "ir do wŏllet nvr alleine" = you would only alone, "das ir wŏllet sein vnser" = that you want to be our, all VEM 2pl (breve-diacritic variant)
wŏlt	lemma_7473	high	wëllen VEM wanted — "euch nicht wŏlt besneiden so" = would not circumcise, "was ir wŏlt Nemet der" = what you wanted, all VEM past (breve-diacritic variant)
ŏsten	lemma_4449	high	ôsten ADV east — "gen ŏsten" ×3 = toward the east, "Und von ŏsten vnd von" = and from the east and from, all ADV directional (breve-diacritic variant)
