form	resolved_lemma	confidence	note
vetern	lemma_6771	high	NOM vater plural (forefathers/fathers); all contexts are "zu deinen vetern mit fride"; lemma_7046=vetere is non-canonical variant
gestalt	lemma_2246	high	NOM gestalt (shape/form); all contexts are nominal; lemma_5706=stellen past participle would be "gestellt" not "gestalt"
blute	lemma_775	high	dative of bluot (blood); contexts "mit dem blute"; lemma_770=blüejen (VRB to bloom) is completely wrong
ires	lemma_5454	high	genitive possessive ires (her/their); contexts "furen in ires kindes reich"; lemma_5432=sîn and lemma_56116 are wrong
morgen	lemma_4201	high	NOM morgen (morning); all contexts are "abent vnd morgen ein tag"; lemma_4203=morgen (ADV tomorrow) is secondary
gewant	lemma_2331	high	NOM gewant (garment/clothing); all contexts are nominal "esse vnd gewant"; lemma_7554=wenden (VRB) is different
Gewant	lemma_2331	high	capitalized gewant at sentence start
wirst	lemma_7489	high	2sg future of werden (will become); all contexts are "du wirst ir herschen/sein"; lemma_5432=sîn is different
menschen	lemma_4082	high	NOM mensche (human being, gen/dat sg or pl); all contexts are "einen menschen noch vnserm bild"; lemma_4098=menschlich (ADJ) is different
sante	lemma_5396	high	past 3sg of senden (sent); all contexts are "got herre sante einen slaf/engel"; lemma_5397=sant (NAM saint) and lemma_19022=Sanct are different
Sante	lemma_5396	high	capitalized sante at sentence start
gabe	lemma_1839	high	NOM gâbe (gift/offering); all contexts are "opferte gabe vnserm herren"; lemma_1961=geben (VRB) would need different form
Gabe	lemma_1839	high	capitalized gabe at sentence start
lant	lemma_3604	high	NOM lant (land/country); all contexts are "deines vaters lant", "in das lant"; lemma_3630=lange (ADJ/ADV) is different
Lant	lemma_3604	high	capitalized lant at sentence start
geczalt	lemma_7793	high	past participle of zeln (counted); all contexts are "mag er geczalt werden vormenige"; lemma_7796=zal (NOM number) is different
irn	lemma_5454	high	possessive/dative irn (her/their); all contexts "vnd nante irn namen"; lemma_56116 is non-canonical duplicate
Irn	lemma_5454	high	capitalized irn at sentence start
eines	lemma_1331	high	genitive of ein (one/a); all contexts are "der ruch eines vollen ackers"; lemma_13=âne and lemma_119=aleine are different
Eines	lemma_1331	high	capitalized eines at sentence start
hie	lemma_2825	high	ADV hie (here); all contexts are "Vreude beide hie vnd dort", "hie stet geschriben"; lemma_2741=himel and lemma_7695=wonen are false positives
stein	lemma_5743	high	NOM stein (stone); all contexts are "nam den stein den er", "vf den stein"; lemma_62338=Stein (NAM proper name) is not attested
reine	lemma_4848	high	ADJ reine (pure/clean); all contexts are "vnd reine vnd wirdig", "das reine weib"; lemma_4849=reinigen (VRB) is different
Reine	lemma_4848	high	capitalized reine at sentence start
fremden	lemma_7221	high	ADJ/NOM vremde (foreign/strange, dative or plural); all contexts are "die fremden mit ein", "von den fremden"; lemma_7219=vremede is non-canonical
steten	lemma_5732	high	dative plural of stat (cities/places); all contexts are "in den steten vnd alles"; lemma_5713=stæte (ADJ steadfast) would not appear in these contexts
wonte	lemma_7695	high	past 3sg of wonen (dwelt/lived); all contexts are "wonte in der stat", "wonte bi im"; lemma_7696=wonunge (NOM dwelling) is different
furte	lemma_7283	high	past 3sg of vüeren (led/guided); all contexts are "got herre furte aus der wusten"; lemma_6761=varn is different
segen	lemma_5363	high	NOM segen (blessing); all contexts are "deinen segen Nu machte", "got segen in"; lemma_5366=sehen (VRB to see) would not appear as segen
daz	lemma_1097	high	demonstrative/relative daz (that/which); all contexts are "das buch daz do heisset"; lemma_14087=daz is non-canonical duplicate
tagen	lemma_5994	high	dative plural of tac (days); all contexts are "in seinen tagen Das er", "in iren tagen"; lemma_1061=dagen (VRB) is different
lies	lemma_3567	high	past 3sg of lâʒen (let/left); all contexts are "lies si geen", "lies in varen"; lemma_3605=lîhen (VRB to lend) is different
lasen	lemma_3567	high	past plural of lâʒen (they left/let); all contexts are "der mensch lasen vater vnd muter"; lemma_3605=lîhen is different
alters	lemma_156	high	genitive of altar (NOM altar); all contexts are "stat des alters den er", "auf den alters"; lemma_155=alt (ADJ old) is completely different
ende	lemma_1396	high	NOM ende (end); all contexts are "vorrede ein ende", "zu Das ende alles vleisches"; lemma_1400=enden (VRB) would appear differently
halben	lemma_2617	high	ADJ/NOM halbe (half, dative); all contexts are "vnd einer halben in die"; lemma_2618=halp (ADJ) is non-canonical variant
gut	lemma_2573	high	ADJ guot (good); all contexts are "das es gut was", "czu gut czu nemen"; lemma_2574=guot (NOM goods) is secondary; lemma_2570=gunnen is different
samen	lemma_5090	high	ADV sament (together); all contexts are "zu samen komen", "samen mit"; lemma_5039=sâme (NOM seed) would not appear as "zu samen"
