form	resolved_lemma	confidence	note
erkanten	lemma_1585	high	erkennen VRB recognized — "sie sich erkanten das si" = they recognized each other, "noch niemant erkanten die fur" = yet nobody recognized those who, all VRB past pl
Meren	lemma_4035	high	mêren VRB to multiply — "Meren wil ich" = I will multiply, "Meren wirt der" = will multiply the, all VRB imperative/future (not mære ADJ famous)
grossen	lemma_2534	high	grôz ADJ great/large — "brvnne der grossen abgrunde" = of the great abyss, "taten grossen gewalt" = did great violence, all ADJ inflected genitive/accusative
wiert	lemma_7489	high	werden VRB will/become — "wiert dein same" = your seed will become, "wiert richten deinen" = will direct your, all VRB future (not wirt NOM host)
Tu	lemma_6301	high	tuon VRB do! — "Tu als du" = do as you, "Tu dir got" = God grant you, all VRB imperative tuon (not du PRO)
sune	lemma_5883	high	sun NOM son — "sune oder tŏchter" = sons or daughters, "abrahams sune swester" = Abraham's son's sister, all NOM (not süenen NOM or sunne NOM sun)
gebete	lemma_1965	high	gebet NOM prayer — "enpfangen dein gebete" = receive your prayer, "erhorte ir gebete" = heard their prayer, all NOM (not geben VRB)
dy	lemma_1139	high	die ART the — "dy leute dynen" = the people serve you, "dy geslecht an" = the tribes/races on, all ART (Bohemian spelling dy=die, not du PRO)
ey	lemma_104	high	ai INJ exclamation — "erschrack ey wie vorchtlich" = startled, oh how fearfully, all INJ exclamation (not ei NOM egg)
Ey	lemma_104	high	ai INJ exclamation — "sprach Ey wie ist" = spoke: Oh how is, "ouf getan Ey wie schŏne" = opened: Oh how beautiful, all INJ
seyne	lemma_1517	high	sein PRO his — "vromen seyne ł trovme" = his dreams may benefit him, "man wider seyne h housvrowe" = again his household wife, all PRO (not Seyne NAM Seine river, not sîn VEX)
hilt	lemma_2629	high	halten VRB held — "die man hilt in der" = that one holds in the, "esil vnd hilt sie ouf" = donkey and held them up, all VRB past 3sg
sak	lemma_5045	high	sac NOM bag/sack — "in den sak vnd geben" = into the bag and give, "ouf seinen sak des abendes" = into his bag in the evening, all NOM (not sache NOM matter)
luden	lemma_3573	high	laden VRB loaded — "luden di secke" = loaded the sacks, "Die luden sie czu" = those loaded them to, all VRB past pl (not liut NOM people)
gemute	lemma_2107	high	gemüete NOM spirit/mind — "an des gemute Und sicht" = of the spirit And sees, "in ewer gemute vnd henget" = in your spirit and hangs, all NOM
maze	lemma_3913	high	mâze NOM measure — "die maze der czigel" = the measure of the bricks ×2, all NOM (Exodus brick-quota context, not mâzen VRB to moderate)
beche	lemma_345	high	bach NOM brook plural — "vber ire beche vnd brvnne" = over their brooks and springs, "steine der beche" = stones of the brooks, all NOM plural
swellen	lemma_5954	high	swelle NOM threshold — "ouf der swellen vnd sprenget" = upon the threshold and sprinkled, "ouf die swellen vnd an" = upon the threshold, all NOM (not swellen VRB to swell)
lag	lemma_3770	high	ligen VRB lay — "des morgens lag der taw" = in the morning lay the dew, "im vorholn lag die hute" = secretly lay the guard, all VRB past 3sg (not lâge NOM snare)
geraten	lemma_2148	high	gerâten VRB advised — "im hete geraten Und erwelte" = had advised him And chose, "wart ir geraten von irem" = was advised by her, all VRB past participle
schafte	lemma_5156	high	schaft NOM shaft/handle — "von dem schafte Aber an" = from the shaft But at, "von einem schafte Und die" = from a shaft And the, all NOM (tabernacle pole/shaft context)
Mach	lemma_3917	high	machen VRB make! — "Mach ouch funfczig" = make also fifty, "Mach ouch eilf" = make also eleven, all VRB imperative (not mâc NOM kinsman, not mügen VEM)
ru	lemma_5034	high	ruowe NOM rest — "veier heilige ru des herren" = four holy rests of the lord, "heiligen tages ru" = the holy day's rest, all NOM (not rou ADJ rough)
perg	lemma_521	high	berc NOM mountain — "von dem perg steig do" = from the mountain came down, "ouf den perg habende sie" = on the mountain having them, all NOM (not Perg NAM)
seilen	lemma_5376	high	seil NOM ropes — "mit iren seilen Gewant des" = with their ropes, garment of the, "mit iren seilen Alle vas" = with their ropes all vessels, all NOM plural (not seilen VRB)
mugende	lemma_71549	high	mugende ADJ powerful/able — "also wol mugende als ich" = as well able/powerful as I, "gegen ir mugende vnd nante" = against her power, all ADJ/NOM
schicken	lemma_5231	high	schicken VRB to arrange/send — "saltu schicken die in" = you shall arrange/send those in, "heimliches zu schicken" = secretly to arrange, all VRB
Fur	lemma_7283	high	vüeren VRB lead! — "Fur sie her" = lead them here, "Fur ous den" = lead out from the, all VRB imperative (Bohemian F=V, like Fure already resolved)
