file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
FLG.tei.xml;FLG_1041200_12;frovwe;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_80904;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";úch in einer stunde mit dem heiligen geiste nach allem úwerm willen in ertrich gelten **frovwe** minne ir hant mich also sere betwungen das min licham ist komen in sunderlich krankheit
FR3.tei.xml;FR3_111207030350_6;fraw;35;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";ja lobt euch mein gedanck **fraw** minne / dorinn mein hertze und gemüte prinnen
FR3.tei.xml;FR3_111209050730_7;fraw;73;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";sie ließ mich gar verharmen / das was vergenglich leit owe **fraw** minne / wie torst ir quelen mich in hertzen
GVN.tei.xml;GVN_4902008001_9;fro;8;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_154744;lemma_7260;NOM;high;"Anrede vor minne; die Schreibung ist zwischen vrouwe und vrô mehrdeutig, entschieden von @wachauer am 01.09.2026 in #216 ('Jedesmal Frau Minne').";daz ichs umbevienge alsô / minne sunder dinen danc so wære ich **fro**
LZT.tei.xml;LZT_810_0;fraw;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";**fraw** mynn erst mues ich lauffen / durch not zu ewren genaden
LZT.tei.xml;LZT_1120_2;fraw;2;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";durch den fürsten gehewren / so wil **fraw** mynn und ich / mit rat und ler dich stewren
LZT.tei.xml;LZT_1860_0;fraw;6;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";das er alls licht an clarhait über obet / **fraw** mynn jach nymm mit fleisse war / du hörest palld was ich dir hab gelobet
LZT.tei.xml;LZT_2510_2;fraw;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";vernembt **fraw** mynn und ere / wann ir welt fürbas gan
LZT.tei.xml;LZT_2740_0;fraw;4;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";ich jach zwar ich verschullde / **fraw** mynn was ir zu lieb mir habt getan / lat uns der endt alls euch yetz ist gehaissen
LZT.tei.xml;LZT_3030_2;fraw;3;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_7260;;variants.xml#type_43131;lemma_7260;NOM;high;"Die normalisierte Schreibung kommt im Korpus nur unter lemma_7260 vor; lemma_7260 traegt genau eine Wortart (NOM). Keine Kontextentscheidung noetig.";sach wir dort vor im sitzen / den mir **fraw** mynn tet weysen / und jach er wär von kunst und hohen witzen
